canonicalActorId,primaryName,actorType,ldaClientId,fecCommitteeId,uei,docketSubmitterId,intermediaryId,sourceSystems,parentActorId,country,state,candidateOnly,candidateStatus,notes
cand-5745845f94a0,ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LJ6FBY1LX2L3,not_observed_in_candidate_snapshot,133182027,IRS/ProPublica dark-money bridge; Intermediary bridge; USAspending agency actions,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=4; venues=intermediary; opaque_nonprofit_or_dark_money; procurement"
cand-757cad66eed7,"MEHLMAN CONSULTING, INC.",lobbying_firm_or_client_candidate,row-96,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=57; venues=revolving_door; visible_lobbying"
cand-47a12661e34c,THE ALBERT B SABIN VACCINE INSTITUTE INC,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,H5E8NU6N2HZ5,not_observed_in_candidate_snapshot,061389829,Intermediary bridge; USAspending agency actions,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=2; venues=intermediary; procurement"
cand-baf685054e8b,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",lobbying_firm_or_client_candidate,row-111,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=40; venues=revolving_door; visible_lobbying"
cand-ee49c8a89241,BGR GOVERNMENT AFFAIRS,lobbying_firm_or_client_candidate,row-80,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=25; venues=revolving_door; visible_lobbying"
cand-fd82ae0867d2,HOLLAND & KNIGHT LLP,organization_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,WQAXD7KJ46M9,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA revolving-door proxy; USAspending agency actions,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=24; venues=procurement; revolving_door"
cand-b873bf167c67,BERGER ACTION FUND INC,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,208948868,IRS/ProPublica dark-money bridge; Intermediary bridge,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=2; venues=intermediary; opaque_nonprofit_or_dark_money"
cand-39db075a0df2,FORBES-TATE,lobbying_firm_or_client_candidate,row-45; row-60,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=21; venues=revolving_door; visible_lobbying"
cand-472f2c537845,HB STRATEGIES,lobbying_firm_or_client_candidate,row-31,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=20; venues=revolving_door; visible_lobbying"
cand-b905d6833296,American Petroleum Institute,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,130433430,IRS/ProPublica dark-money bridge; Intermediary bridge,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=9; venues=intermediary; opaque_nonprofit_or_dark_money"
cand-463d4e66d5b6,KLEIN/JOHNSON GROUP,lobbying_firm_or_client_candidate,row-66,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=16; venues=revolving_door; visible_lobbying"
cand-6309dcdb883f,INVARIANT LLC,lobbying_firm_or_client_candidate,row-54; row-55; row-73; row-81,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=18; venues=revolving_door; visible_lobbying"
cand-bae5f26f5a7f,COASTAL STATES STEWARDSHIP FOUNDATION,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,XBQ8WRXR63P8,not_observed_in_candidate_snapshot,202790697,Intermediary bridge; USAspending agency actions,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=2; venues=intermediary; procurement"
cand-c622a81fd3af,"ALPINE GROUP PARTNERS, LLC.",lobbying_firm_or_client_candidate,row-92,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=11; venues=revolving_door; visible_lobbying"
cand-38a4bec2e968,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",lobbying_firm_or_client_candidate,row-38; row-39,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=12; venues=revolving_door; visible_lobbying"
cand-3eae47ba934b,THORN RUN PARTNERS,lobbying_firm_or_client_candidate,row-12,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=10; venues=revolving_door; visible_lobbying"
cand-81f6b7aa7e13,CREDIT UNION NATIONAL ASSOCIATION INC,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,237065623,IRS/ProPublica dark-money bridge; Intermediary bridge,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=2; venues=intermediary; opaque_nonprofit_or_dark_money"
cand-91ca3975167f,EDISON ELECTRIC INSTITUTE,nonprofit_association_or_intermediary_candidate,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,130659550,IRS/ProPublica dark-money bridge; Intermediary bridge,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=2; venues=intermediary; opaque_nonprofit_or_dark_money"
cand-aa2abd728478,"K&L GATES, LLP",lobbying_firm_or_client_candidate,row-16; row-17; row-67,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=10; venues=revolving_door; visible_lobbying"
cand-2c5ecdca3e87,"MERCURY PUBLIC AFFAIRS, LLC",lobbying_firm_or_client_candidate,row-11; row-93,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=9; venues=revolving_door; visible_lobbying"
cand-4aefcd7c7ba9,"CGCN GROUP, LLC",lobbying_firm_or_client_candidate,row-44; row-83; row-119; row-120,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,not_observed_in_candidate_snapshot,LDA; LDA revolving-door proxy,not_reviewed,not_reviewed,not_reviewed,true,candidate_unreviewed_not_estimation_ready,"candidate-only automated name-overlap seed; not manually adjudicated; does not clear first-wave source-product, venue-shifting, or causal-calibration gates; sourceRecordCount=10; venues=revolving_door; visible_lobbying"
