docketId,commentId,submitterName,organization,postedDate,bodyText,sourceUrl,attachmentText,withdrawn,notes
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0073,Anonymous public comment,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"I reccommend exercising maximum penalties on the state of Utah government for it's failure over decades to clean the air. Utah government does not accept the responsibility of providing a safe environment to the citizens of Utah. The air is a health hazard and now because of uncontrolled development there is a shortage of water.
Clearly the state government is unable or unwilling to govern responsibly, and penalties necessary to help correct the threat.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0073,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0074,joe Futterer,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0074,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0075,Mark Hayduke Grenard,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0075,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0076,Sallie McCarthy,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Idling cars in summer to run a/c are major polluters.
Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0076,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0077,Robert Racine,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0077,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0078,David Bennett,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0078,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0079,Steven Rosenberg,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0079,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0080,Connie Taylor,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"NO further plans should be considered without significant air, land and water pollution reduction plans EVER! We MUST fix things NOW, were out of time. Officials who ignore this need are committing criminal negligence.
Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0080,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0081,Linda Pohle,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"The National Parks belong to all Americans, not just the state officials in Wyoming and Utah. I support your Regional Haze Rule that will help clear the air and make breathing easier in our national parks.
Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0081,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0082,Tay Haines,not provided by public Regulations.gov fields,2024-10-09T04:00:00Z,"Wyoming and Utah have submitted Regional Haze State Implementation Plans with no proposed pollution reductions, allowing some of the nation's biggest polluters to remain uncontrolled for nitrogen oxide, sulfur dioxide, and other pollutants when common-sense controls exist that could significantly cut those emissions.
EPAs proposed disapprovals of these do-nothing state plans are a critical first step to protect air quality, both in national parks and our communities. I urge EPA to finalize its proposed disapprovals and act quickly to implement plans that will result in real pollution reductions.
In Utah, EPA analysis shows that installing selective catalytic reduction (SCR) on Hunter and Huntington coal plants would be cost-effective and provide massive visibility benefits for Utahs national parks. These plants have avoided pollution reductions for decades. Now is the time for EPA to act.
Similarly, in Wyoming, the state failed to even consider pollution controls at the states largest polluters, including Jim Bridger, Naughton, Dave Johnston, and Wyodak coal plants. Each of these facilities could install cost-effective pollution controls, including SCRs, that would result in significant air-quality improvements across the state.
Please finalize the proposed disapprovals of Utah and Wyomings do-nothing plans and require enforceable pollution reductions, including SCR installation, on our states' biggest polluters Hunter, Huntington, Jim Bridger, Naughton, Dave Johnston, and Wyodak.",https://www.regulations.gov/comment/EPA-R08-OAR-2024-0389-0082,,false,source=Regulations.gov v4 comment detail; retrievedAt=2026-09-12T18:11:40+00:00; commentOnDocumentId=EPA-R08-OAR-2024-0389-0001; duplicateComments=1; organizationMissing=true
