docketId,commentId,clusterId,clusterMethod,duplicateScore,isTemplate,technicalContentScore,authenticitySignal,clusterRepresentativeId,reviewer,notes
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0073,rg-comment-cluster-9d77828e9b18,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.1736,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0073,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0074,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0075,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0076,rg-comment-cluster-bdc1fa83faad,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.6925,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0076,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0077,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0078,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0079,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0080,rg-comment-cluster-21b5cf239390,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7117,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0080,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0081,rg-comment-cluster-faeb225667d1,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7133,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0081,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0082,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0083,rg-comment-cluster-8a442248e61d,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7442,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0083,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0084,rg-comment-cluster-8321ed57c019,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.6933,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0084,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
