decisionFamilyId,decisionCaseId,docketFileNumber,protesterNative,solicitationNumbersNative,decisionServiceAreas,filedDate,decisionDate,postedDate,dueDate,docketOutcome,piid,awardTimingStatus,sourceUrl,sourceReviewDate,sourceFingerprint,reviewFingerprint,independentReviewStatus
B-422689-consolidated,B-422689,B-422689.1,"Owens & Minor Distribution, Inc.",36C10X24R0007,VISN 8,2024-06-24,2024-09-16,2024-09-16,2024-10-02,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422689.1,2026-09-12,092070d4ed87970681923c5631479a7d31076c73dcdade48af85cab4c85e5c2b,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422689.2,B-422689.2,"Concordance Healthcare Solutions, LLC",36C10X24R0007,VISN 8,2024-06-24,2024-09-16,2024-09-16,2024-10-02,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422689.2,2026-09-12,c35d2da42c8f2f47102ada8701eb16f832c4b44195b14ada4e39d24182052524,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422689.3,B-422689.3,"Concordance Healthcare Solutions, LLC",36C10X24R0007,VISN 8,2024-06-26,2024-09-16,2024-09-16,2024-10-04,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422689.3,2026-09-12,613c80096b893a7dc12611f03745baa7338cc2fecf180dc782700f1b54ba7386,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422689.4,B-422689.4,"Owens & Minor Distribution, Inc.",36C10X24R0007,VISN 8,2024-08-02,2024-09-16,2024-09-16,2024-11-12,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422689.4,2026-09-12,33fb74de7893963b06b0b0eb71357404606f66488b49ab5f7b5bfa0e398656c1,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422690,B-422690.1,"Cardinal Health 200, Inc.",36C10X24R0017,VISN 22,2024-06-24,2024-09-16,2024-09-16,2024-10-02,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422690.1,2026-09-12,e4e47f8004c8bdaeded64d074aca8d842215ee706441a35975699e26d251edd7,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422690.2,B-422690.2,"Concordance Healthcare Solutions, LLC",36C10X24R0007;36C10X24R0017,VISN 22,2024-06-24,2024-09-16,2024-09-16,2024-10-02,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422690.2,2026-09-12,bb599e484111a6837dfb7072013784d5b99a47fcd14404d107aa90907226ab84,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422690.3,B-422690.3,"Concordance Healthcare Solutions, LLC",36C10X24R0017,VISN 22,2024-06-26,2024-09-16,2024-09-16,2024-10-04,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422690.3,2026-09-12,b1583874607c5c6d04fde35372c2b65dcd4e8df0a2f39b6c6cc70da74e13466a,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422690.4,B-422690.4,"Cardinal Health 200, Inc.",36C10X24R0017,VISN 22,2024-08-02,2024-09-16,2024-09-16,2024-11-12,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422690.4,2026-09-12,ef44c98c82f78bab3dc88aebc40001ff79b39538cf467331978000d5f1139aeb,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422692,B-422692.1,"Concordance Healthcare Solutions, LLC",36C10X24R0007;36C10X24R0020,OGA,2024-06-24,2024-09-16,2024-09-16,2024-10-02,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422692.1,2026-09-12,9ce870f97b76a663469acf10306afa3e89bc6aab816342b4bc59837b420af109,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
B-422689-consolidated,B-422692.2,B-422692.2,"Concordance Healthcare Solutions, LLC",36C10X24R0020,OGA,2024-06-26,2024-09-16,2024-09-16,2024-10-04,Denied,,docket_dates_only_award_mapping_unresolved,https://www.gao.gov/docket/b-422692.2,2026-09-12,54a2b169e1d3e97d15579d1c2281670278ad83b320b4438eea2769a5e3097a20,1c14465891258ffe229775c60bd7add1d8b2756661c3fc9c069d9c47b627daef,pending
