canonicalActorId,issueCode,venue,periodStart,periodEnd,activityType,activityMeasure,sourceSystem,sourceRecordId,matchConfidence,activityAmount,jurisdiction,reviewStatus,notes
cand-00423245e785,reviewed-democracy,opaque_nonprofit_or_dark_money,2024-01-01,2024-12-31,opaque_nonprofit_capacity,0.0005,IRS/ProPublica dark-money bridge,521399806,0.9500,0.0005,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-00423245e785,reviewed-democracy,intermediary,2024-01-01,2024-12-31,intermediary_capacity,0.0016,Intermediary bridge,521399806,0.9500,0.0016,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-03b59df7486d,reviewed-democracy,opaque_nonprofit_or_dark_money,2024-01-01,2024-12-31,opaque_nonprofit_capacity,0.0321,IRS/ProPublica dark-money bridge,410659918,0.9500,0.0321,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-03b59df7486d,reviewed-democracy,intermediary,2024-01-01,2024-12-31,intermediary_capacity,0.0962,Intermediary bridge,410659918,0.9500,0.0962,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-0466e4403f64,reviewed-democracy,opaque_nonprofit_or_dark_money,2024-01-01,2024-12-31,opaque_nonprofit_capacity,0.4366,IRS/ProPublica dark-money bridge,474908678,0.9500,0.4366,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-0466e4403f64,reviewed-democracy,intermediary,2024-01-01,2024-12-31,intermediary_capacity,1.3098,Intermediary bridge,474908678,0.9500,1.3098,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-04d52943108f,reviewed-democracy,opaque_nonprofit_or_dark_money,2024-01-01,2024-12-31,opaque_nonprofit_capacity,0.0190,IRS/ProPublica dark-money bridge,521219782,0.9500,0.0190,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-04d52943108f,reviewed-democracy,intermediary,2024-01-01,2024-12-31,intermediary_capacity,0.0395,Intermediary bridge,521219782,0.9500,0.0395,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-0654f97b5a4a,reviewed-democracy,opaque_nonprofit_or_dark_money,2024-01-01,2024-12-31,opaque_nonprofit_capacity,0.0395,IRS/ProPublica dark-money bridge,520975324,0.9500,0.0395,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
cand-0654f97b5a4a,reviewed-democracy,intermediary,2024-01-01,2024-12-31,intermediary_capacity,0.1186,Intermediary bridge,520975324,0.9500,0.1186,source_snapshot,reviewed_exact_identifier_link,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; period is normalized source snapshot coverage, not observed pre/post movement"
