canonicalActorId,committeeId,halfYear,periodStart,periodEnd,reportCount,completeCoverage,eventClass,candidateContributionsDollars,independentExpendituresDollars,totalDisbursementsDollars,sourceRecordIds,selectionBasis,adjudicationIds,linkStatus,claimBoundary
cand-9948f2974958,C00340356,2003H1,2003-01-01,2003-06-30,1,true,pre,57301.09,0.00,58301.09,file:91467,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2003H2,2003-07-01,2003-12-31,1,true,pre,22525.38,0.00,22525.38,file:106082,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2004H1,2004-01-01,2004-06-30,2,true,pre,57111.26,0.00,57111.26,file:118052;file:125881,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2004H2,2004-07-01,2004-12-31,4,true,pre,24390.01,0.00,32110.01,file:138342;file:145221;file:152397;file:421904,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2005H1,2005-01-01,2005-06-30,1,true,pre,44362.14,0.00,44852.14,file:431427,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2005H2,2005-07-01,2005-12-31,1,true,pre,65000.00,0.00,65460.80,file:437044,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2006H1,2006-01-01,2006-06-30,2,true,pre,65165.00,0.00,66058.00,file:439424;file:471405,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2006H2,2006-07-01,2006-12-31,4,true,pre,49972.60,0.00,50342.60,file:471411;file:471414;file:471420;file:471425,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2007H1,2007-01-01,2007-06-30,1,true,pre,47115.30,0.00,48850.30,file:299068,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2007H2,2007-07-01,2007-12-31,1,true,straddles_event_excluded,61994.61,0.00,62399.61,file:318695,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2008H1,2008-01-01,2008-06-30,3,true,post,43640.36,0.00,43915.36,file:330376;file:341778;file:349764,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-9948f2974958,C00340356,2008H2,2008-07-01,2008-12-31,5,true,post,43243.45,0.00,43243.45,file:355655;file:368571;file:373740;file:388154;file:399891,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2003H1,2003-01-01,2003-06-30,6,true,pre,78749.55,0.00,78749.55,file:76092;file:78051;file:81112;file:84849;file:86834;file:89551,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2003H2,2003-07-01,2003-12-31,6,true,pre,41850.00,0.00,41852.75,file:101207;file:103390;file:93274;file:94904;file:96937;file:99728,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2004H1,2004-01-01,2004-06-30,6,true,pre,87669.18,0.00,88850.43,file:108052;file:111303;file:119339;file:120582;file:122079;file:125596,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2004H2,2004-07-01,2004-12-31,6,true,pre,75083.49,0.00,75083.49,file:131360;file:135063;file:137759;file:142528;file:152512;file:159012,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2005H1,2005-01-01,2005-06-30,6,true,pre,116915.43,0.00,119262.82,file:164772;file:167336;file:170376;file:173936;file:176299;file:179417,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2005H2,2005-07-01,2005-12-31,6,true,pre,63100.00,0.00,63212.00,file:184036;file:185999;file:189835;file:191500;file:193480;file:195858,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2006H1,2006-01-01,2006-06-30,6,true,pre,94850.00,0.00,95372.00,file:201515;file:206083;file:210134;file:216827;file:222326;file:228377,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2006H2,2006-07-01,2006-12-31,6,true,pre,113133.50,0.00,113168.50,file:233122;file:245393;file:246360;file:249337;file:262365;file:269683,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2007H1,2007-01-01,2007-06-30,6,true,pre,140500.00,0.00,141530.00,file:277715;file:281356;file:284274;file:288733;file:290859;file:293477,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2007H2,2007-07-01,2007-12-31,6,true,straddles_event_excluded,66250.00,0.00,66280.00,file:301541;file:303479;file:307701;file:311036;file:312853;file:320694,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2008H1,2008-01-01,2008-06-30,6,true,post,118000.00,0.00,118565.00,file:322652;file:331666;file:339721;file:345419;file:346562;file:350952,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-d5522e62fad7,C00007450,2008H2,2008-07-01,2008-12-31,6,true,post,72000.00,0.00,72030.00,file:358472;file:371095;file:371104;file:372233;file:386059;file:395436,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2003H1,2003-01-01,2003-06-30,1,true,pre,841625.00,0.00,1830246.19,file:99858,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2003H2,2003-07-01,2003-12-31,1,true,pre,608500.00,0.00,1203683.61,file:105304,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2004H1,2004-01-01,2004-06-30,6,true,pre,904500.00,0.00,1416295.68,file:108867;file:112298;file:117497;file:118948;file:122735;file:128373,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2004H2,2004-07-01,2004-12-31,6,true,pre,804000.00,0.00,2031927.37,file:131092;file:140349;file:140428;file:148410;file:153745;file:161740,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2005H1,2005-01-01,2005-06-30,6,true,pre,835000.00,0.00,1833118.90,file:165321;file:167861;file:174413;file:174425;file:176907;file:184332,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2005H2,2005-07-01,2005-12-31,6,true,pre,807500.00,0.00,1141126.39,file:184373;file:186877;file:190134;file:194256;file:194277;file:198774,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2006H1,2006-01-01,2006-06-30,6,true,pre,1095500.00,0.00,1410881.45,file:202780;file:207661;file:213708;file:218034;file:222632;file:229566,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2006H2,2006-07-01,2006-12-31,6,true,pre,679000.00,0.00,1933777.16,file:233195;file:239039;file:245949;file:249207;file:263195;file:271412,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2007H1,2007-01-01,2007-06-30,1,true,pre,887000.00,0.00,1585639.50,file:355291,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2007H2,2007-07-01,2007-12-31,3,true,straddles_event_excluded,789500.00,0.00,1373958.37,file:355321;file:355346;file:376556,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2008H1,2008-01-01,2008-06-30,6,true,post,1065500.00,0.00,1442419.01,file:355359;file:355439;file:355458;file:355805;file:357159;file:372373,api_flags,,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
cand-f7178708cc78,C00024521,2008H2,2008-07-01,2008-12-31,6,true,post,799000.00,66640.59,1366995.27,file:372416;file:372466;file:372529;file:374122;file:388257;file:399562,source_reviewed_supplement,fec-aaj-2008-30g-supplement,historical_affiliation_candidate,Observed PAC half-year totals only; no treatment/control design or causal substitution effect; affiliation and principal funding identity remain separate.
