canonicalActorId,committeeId,committeeName,reportYear,reportType,fileNumber,sourceRecordId,periodStart,periodEnd,receiptDate,amendmentIndicator,mostRecent,isAmended,amendmentChain,candidateContributionsDollars,independentExpendituresDollars,totalDisbursementsDollars,sourceUrl,sourceRetrievedAt,linkStatus,claimBoundary
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M2,76092,file:76092,2003-01-01,2003-01-31,2003-02-12,N,true,false,76092,6000.00,0.00,6000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/76092/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M3,78051,file:78051,2003-02-01,2003-02-28,2003-03-10,N,true,false,78051,7350.00,0.00,7350.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/78051/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M4,81112,file:81112,2003-03-01,2003-03-31,2003-04-11,N,true,false,81112,11148.88,0.00,11148.88,https://docquery.fec.gov/cgi-bin/forms/C00007450/81112/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M5,84849,file:84849,2003-04-01,2003-04-30,2003-05-15,N,true,false,84849,14000.00,0.00,14000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/84849/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M6,86834,file:86834,2003-05-01,2003-05-31,2003-06-12,N,true,false,86834,18880.00,0.00,18880.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/86834/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M7,89551,file:89551,2003-06-01,2003-06-30,2003-07-14,N,true,false,89551,21370.67,0.00,21370.67,https://docquery.fec.gov/cgi-bin/forms/C00007450/89551/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M8,93274,file:93274,2003-07-01,2003-07-31,2003-08-07,N,true,false,93274,7250.00,0.00,7250.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/93274/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M9,94904,file:94904,2003-08-01,2003-08-31,2003-09-10,N,true,false,94904,0.00,0.00,0.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/94904/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M10,96937,file:96937,2003-09-01,2003-09-30,2003-10-13,N,true,false,96937,17500.00,0.00,17500.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/96937/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M11,99728,file:99728,2003-10-01,2003-10-31,2003-11-17,N,true,false,99728,13100.00,0.00,13100.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/99728/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,M12,101207,file:101207,2003-11-01,2003-11-30,2003-12-10,N,true,false,101207,3000.00,0.00,3000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/101207/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2003,YE,103390,file:103390,2003-12-01,2003-12-31,2004-01-14,N,true,false,103390,1000.00,0.00,1002.75,https://docquery.fec.gov/cgi-bin/forms/C00007450/103390/,2026-09-12T18:39:44+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M2,108052,file:108052,2004-01-01,2004-01-31,2004-02-11,N,true,false,108052,0.00,0.00,0.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/108052/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M3,111303,file:111303,2004-02-01,2004-02-29,2004-03-11,N,true,false,111303,20000.00,0.00,20000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/111303/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M4,115863,file:115863,2004-03-01,2004-03-31,2004-04-15,N,false,true,115863,31169.18,0.00,31169.18,https://docquery.fec.gov/cgi-bin/forms/C00007450/115863/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M4,120029,file:120029,2004-03-01,2004-03-31,2004-05-18,A,false,true,115863;120029,31169.18,0.00,31169.18,https://docquery.fec.gov/cgi-bin/forms/C00007450/120029/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M4,120582,file:120582,2004-03-01,2004-03-31,2004-05-20,A,true,false,115863;120029;120582,31169.18,0.00,31169.18,https://docquery.fec.gov/cgi-bin/forms/C00007450/120582/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M5,119339,file:119339,2004-04-01,2004-04-30,2004-05-11,N,true,false,119339,7500.00,0.00,7500.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/119339/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M6,122079,file:122079,2004-05-01,2004-05-31,2004-06-08,N,true,false,122079,9500.00,0.00,10681.25,https://docquery.fec.gov/cgi-bin/forms/C00007450/122079/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M7,125596,file:125596,2004-06-01,2004-06-30,2004-07-13,N,true,false,125596,19500.00,0.00,19500.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/125596/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M8,131360,file:131360,2004-07-01,2004-07-31,2004-08-17,N,true,false,131360,10000.00,0.00,10000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/131360/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M9,135063,file:135063,2004-08-01,2004-08-31,2004-09-17,N,true,false,135063,4000.00,0.00,4000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/135063/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
cand-d5522e62fad7,C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE; THE (GASPAC),2004,M10,137759,file:137759,2004-09-01,2004-09-30,2004-10-12,N,true,false,137759,31000.00,0.00,31000.00,https://docquery.fec.gov/cgi-bin/forms/C00007450/137759/,2026-09-12T18:21:15+00:00,historical_affiliation_candidate,"Observed political-committee report-period amounts only; historical affiliation is a bounded actor-link candidate, not principal funding identity, treatment assignment, or evidence of causal channel substitution."
