canonicalActorId,primaryName,filingUuid,filingYear,filingPeriod,filingType,periodStart,periodEnd,clientName,clientApiId,clientRelationshipId,registrantName,registrantApiId,incomeDollars,expensesDollars,expensesMethod,expensesMethodDisplay,amountKind,sameClientRegistrantName,dtPosted,terminationDate,filingDocumentUrl,filingApiUrl,aliasReviewId,retrievedDate,sourceFingerprint
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,358065cf-c410-4606-b026-a6e10725c3a8,2003,mid_year,MM,2003-01-01,2003-06-30,AMERICAN PUBLIC GAS ASSOCIATION,160070,1751,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),57475,20000.00,,,,income,false,2003-08-04T00:00:00-04:00,,https://lda.gov/filings/public/filing/358065cf-c410-4606-b026-a6e10725c3a8/print/,https://lda.gov/api/v1/filings/358065cf-c410-4606-b026-a6e10725c3a8/,,2026-09-12,fbd71110613e07a0460635ce7d1e42917224081fa99da0c4a2c3131148332f6c
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,50ca0707-6dc1-43a0-9115-89ba56ffd0c7,2003,mid_year,MA,2003-01-01,2003-06-30,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,,,,neither,false,2004-02-24T00:00:00-05:00,,https://lda.gov/filings/public/filing/50ca0707-6dc1-43a0-9115-89ba56ffd0c7/print/,https://lda.gov/api/v1/filings/50ca0707-6dc1-43a0-9115-89ba56ffd0c7/,,2026-09-12,a169b47c1f27e75cdc6f93a5a95e29d22e64661041698efae44d4c7ae3b4e854
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,9bd361f7-98e7-46a9-90cd-267ace5ca84c,2003,mid_year,MM,2003-01-01,2003-06-30,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,100000.00,,,expenses,false,2002-08-29T00:00:00-04:00,,https://lda.gov/filings/public/filing/9bd361f7-98e7-46a9-90cd-267ace5ca84c/print/,https://lda.gov/api/v1/filings/9bd361f7-98e7-46a9-90cd-267ace5ca84c/,,2026-09-12,466a8828cc5c77647ccbb75a8911f5f3bcba8c00487282aecc371f830e986b61
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,da48ba96-86c9-46c6-b602-d07ad8673ef6,2003,year_end,YY,2003-07-01,2003-12-31,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,40000.00,,,expenses,false,2004-02-17T00:00:00-05:00,,https://lda.gov/filings/public/filing/da48ba96-86c9-46c6-b602-d07ad8673ef6/print/,https://lda.gov/api/v1/filings/da48ba96-86c9-46c6-b602-d07ad8673ef6/,,2026-09-12,b16a23f150bfbdda581d7ccff78a054139d75fcbbbf1beea207e356704b2bdad
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,e8de5ab7-9b7d-4996-a61b-d886104f6a86,2003,year_end,YY,2003-07-01,2003-12-31,AMERICAN PUBLIC GAS ASSOCIATION,160070,1751,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),57475,40000.00,,,,income,false,2004-02-17T00:00:00-05:00,,https://lda.gov/filings/public/filing/e8de5ab7-9b7d-4996-a61b-d886104f6a86/print/,https://lda.gov/api/v1/filings/e8de5ab7-9b7d-4996-a61b-d886104f6a86/,,2026-09-12,be9c03e4fae8099a56f05f98ef7e3e9527e95f173d92c6bad4679b31f56849b4
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,93504b46-6a96-443b-8a49-7db43356b29a,2004,mid_year,MT,2004-01-01,2004-06-30,AMERICAN PUBLIC GAS ASSOCIATION,160070,1751,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),57475,0.00,,,,income,false,2004-08-16T00:00:00-04:00,,https://lda.gov/filings/public/filing/93504b46-6a96-443b-8a49-7db43356b29a/print/,https://lda.gov/api/v1/filings/93504b46-6a96-443b-8a49-7db43356b29a/,,2026-09-12,072b006ae19b5f63bdca53a9b6060a62e5c92513530d2b5b8cf624087a6cb4b2
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,95aac699-cc90-4b5f-be0d-fc27f41e5759,2004,mid_year,MM,2004-01-01,2004-06-30,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,20000.00,,,expenses,false,2004-08-11T00:00:00-04:00,,https://lda.gov/filings/public/filing/95aac699-cc90-4b5f-be0d-fc27f41e5759/print/,https://lda.gov/api/v1/filings/95aac699-cc90-4b5f-be0d-fc27f41e5759/,,2026-09-12,234751a5259e882f8d1801dd299330a72c330f6dcfe5cdb4911bc533b9d61bf4
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,dfd14ccd-5c6e-4d93-a0f5-e346845c4e07,2004,year_end,YY,2004-07-01,2004-12-31,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,20000.00,,,expenses,false,2005-03-01T00:00:00-05:00,,https://lda.gov/filings/public/filing/dfd14ccd-5c6e-4d93-a0f5-e346845c4e07/print/,https://lda.gov/api/v1/filings/dfd14ccd-5c6e-4d93-a0f5-e346845c4e07/,,2026-09-12,aa1c4e42dbdf6d900775ce23b7fe65204931286273648fbc419f57d3af87cab7
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,738f5dad-26ac-434e-82cc-e8f3c13feedd,2005,mid_year,MM,2005-01-01,2005-06-30,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,25000.00,,,expenses,false,2005-08-24T00:00:00-04:00,,https://lda.gov/filings/public/filing/738f5dad-26ac-434e-82cc-e8f3c13feedd/print/,https://lda.gov/api/v1/filings/738f5dad-26ac-434e-82cc-e8f3c13feedd/,,2026-09-12,a0f96a149234d0e1fc03135a2cfca67475b4af8f1dbee761b2b13b411ac51265
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,1c05ce98-b02a-4e6c-8964-f7cf2ae30595,2005,year_end,YY,2005-07-01,2005-12-31,AMERICAN PUBLIC GAS ASSOCIATION,167305,12,THE AMERICAN PUBLIC GAS ASSOCIATION,74077,,15000.00,,,expenses,false,2006-02-27T00:00:00-05:00,,https://lda.gov/filings/public/filing/1c05ce98-b02a-4e6c-8964-f7cf2ae30595/print/,https://lda.gov/api/v1/filings/1c05ce98-b02a-4e6c-8964-f7cf2ae30595/,,2026-09-12,4b1857a2e758f59b43a6c6829bca63d90626a5f19a8c08e25b68bb4c581cdbe1
