client,registrant,issueDomain,amount,disclosureLag,coveredOfficialShare
BALL CORPORATION,BALL CORPORATION,energy,0.0000,1.0000,0.2000
BERLIN ROSEN FOR THE BENEFIT OF THE PEW CHARITABLE TRUSTS,"GREENBERG TRAURIG, LLP",energy,0.0000,1.0000,0.2000
"CITY OF ANNAPOLIS, MD","THE FERGUSON GROUP, LLC",energy,0.0000,1.0000,0.2000
COOKERS,SC PARTNERS LLC,energy,0.0000,1.0000,0.2000
COUNTY OF MARIN,"CARPI & CLAY, INC",energy,0.0000,1.0000,0.2000
CYPRESS VALLEY MEAT COMPANY,NATURAL STATE CONSULTING AND STRATEGIES,energy,0.0000,1.0000,0.2000
EION CORP,BOUNDARY STONE PARTNERS,energy,0.0000,1.0000,0.2000
GRAYMONT,MICHAEL BEST STRATEGIES LLC,energy,0.0000,1.0000,0.2000
GRAYMONT,MICHAEL BEST STRATEGIES LLC,finance,0.0000,1.0000,0.2000
INGREDION INCORPORATED,"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",energy,0.0000,1.0000,0.2000
"KOREA ZINC COMPANY, LTD.","MERCURY PUBLIC AFFAIRS, LLC",energy,0.0000,1.0000,0.2000
"MIAMI-DADE COUNTY, FLORIDA",THORN RUN PARTNERS,energy,0.0000,1.0000,0.2000
MICHELIN NORTH AMERICA INC,"MICHELIN NORTH AMERICA, INC.",energy,0.2125,1.0000,0.2000
MICHELIN NORTH AMERICA INC,"MICHELIN NORTH AMERICA, INC.",finance,0.2125,1.0000,0.2000
MOSS LAKE NGL PROJECT LLC,"THE PICARD GROUP, LLC",energy,0.0000,1.0000,0.2000
OPAL FUELS INC.,"K&L GATES, LLP",energy,0.0000,1.0000,0.2000
OPAL FUELS INC.,"K&L GATES, LLP",finance,0.0000,1.0000,0.2000
PACIFIC NORTHWEST WATERWAYS ASSOCIATION (PNWA),"DESIMONE CONSULTING, LLC",energy,0.0000,1.0000,0.2000
PIPEFUSION CIPP CORP.,NELSON MULLINS RILEY & SCARBOROUGH,energy,0.0000,1.0000,0.2000
PURIFICO CORP.,NELSON MULLINS RILEY & SCARBOROUGH,energy,0.0000,1.0000,0.2000
"RWE OFFSHORE WIND HOLDINGS, LLC","RWE OFFSHORE WIND HOLDINGS, LLC",energy,0.0000,1.0000,0.2000
"RWE OFFSHORE WIND HOLDINGS, LLC","RWE OFFSHORE WIND HOLDINGS, LLC",finance,0.0000,1.0000,0.2000
"RWE OFFSHORE WIND SERVICES, LLC","PUBLIC STRATEGIES WASHINGTON, INC.",energy,0.0000,1.0000,0.2000
"RWE OFFSHORE WIND SERVICES, LLC","PUBLIC STRATEGIES WASHINGTON, INC.",finance,0.0000,1.0000,0.2000
SIERRA CLUB,WAXMAN STRATEGIES,energy,0.0000,1.0000,0.2000
SOLUGEN INC,SOLUGEN INC,energy,0.0000,1.0000,0.2000
SONOMA COUNTY TRANSPORTATION AUTHORITY RECGIONAL CLIMATE PROTECTION AUTHORITY,"MURRAY, MONTGOMERY & O'DONNELL",energy,0.0000,1.0000,0.2000
THE GENERATION FOUNDATION,THE GENERATION FOUNDATION,energy,0.0000,1.0000,0.2000
"TOTALENERGIES WASHINGTON OFFICE, F/K/A TOTAL WASHINGTON, DC REPRESENTATIVE OFFIC","TOTALENERGIES WASHINGTON OFFICE, F/K/A TOTAL WASHINGTON, DC REPRESENTATIVE OFFIC",energy,0.0000,1.0000,0.2000
"TOTALENERGIES WASHINGTON OFFICE, F/K/A TOTAL WASHINGTON, DC REPRESENTATIVE OFFIC","TOTALENERGIES WASHINGTON OFFICE, F/K/A TOTAL WASHINGTON, DC REPRESENTATIVE OFFIC",finance,0.0000,1.0000,0.2000
US STRATEGIC METALS,HB STRATEGIES,energy,0.0000,1.0000,0.2000
UTAH LAKE AUTHORITY,"CAPGOV, LLC",energy,0.0000,1.0000,0.2000
VERICARBON,"DUTKO WORLDWIDE, LLC",energy,0.0000,1.0000,0.2000
WILLAMETTE FALLS TRUST,GALLATIN PUBLIC AFFAIRS,energy,0.0000,1.0000,0.2000
"WORKING FAMILIES ORGANIZATION, INC.","NVG, LLC",energy,0.0100,1.0000,0.2000
"WORLD WILDLIFE FUND, INC.",MCCARTIN PUBLIC POLICY GROUP LLC,energy,0.0000,1.0000,0.2000
AKIN GUMP STRAUSS HAUER & FELD LLP OBO PORT OF CORPUS CHRISTI AUTHORITY,VALIANT STRATEGIES LLC,energy,0.0000,1.0000,0.2000
AMERICAN CRITICAL MINERALS ASSOCIATION,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",energy,0.0000,1.0000,0.2000
AMERICAN CRITICAL MINERALS ASSOCIATION,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",finance,0.0000,1.0000,0.2000
ARKANSAS OIL MARKETERS ASSOCIATION,NATURAL STATE CONSULTING AND STRATEGIES,energy,0.0000,1.0000,0.2000
CARBEK INC.,WILMER CUTLER PICKERING HALE AND DORR LLP,energy,0.0000,1.0000,0.2000
CARBON ENGINEERING ULC (FORMERLY KNOWN AS CARBON ENGINEERING LTD.),WAXMAN STRATEGIES,energy,0.0000,1.0000,0.2000
CARBON ENGINEERING ULC (FORMERLY KNOWN AS CARBON ENGINEERING LTD.),WAXMAN STRATEGIES,finance,0.0000,1.0000,0.2000
CHAMPIONX,"CGCN GROUP, LLC",energy,0.0000,1.0000,0.2000
CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS (CRES),FORBES-TATE,energy,0.0000,1.0000,0.2000
CITY OF WOODWAY,HICKS-RAY ASSOCIATES,energy,0.0000,1.0000,0.2000
COLUMBIA RIVERKEEPER,COLUMBIA RIVERKEEPER,energy,0.0000,1.0000,0.2000
ECOENGINEERS,"AJW, INC.",energy,0.0000,1.0000,0.2000
EXXON MOBIL CORP.,EMPIRE CONSULTING GROUP,energy,0.0000,1.0000,0.2000
EXXON MOBIL CORP.,EMPIRE CONSULTING GROUP,finance,0.0000,1.0000,0.2000
"GAYLORD CHEMICAL COMPANY, L.L.C.",FTI GOVERNMENT AFFAIRS,energy,0.0000,1.0000,0.2000
"HDG, LP",GORDON THOMAS HONEYWELL GOVERNMENTAL AFFAIRS,energy,0.0120,1.0000,0.2000
ICE AIR LLC,BLANK ROME GOVERNMENT RELATIONS,energy,0.0000,1.0000,0.2000
IKEA US RETAIL LLC,INVARIANT LLC,energy,0.0000,1.0000,0.2000
IKEA US RETAIL LLC,INVARIANT LLC,finance,0.0000,1.0000,0.2000
ORIGIN MATERIALS,ACORN CONSULTING,energy,0.0000,1.0000,0.2000
PLAINS ALL AMERICAN GP LLC,PLAINS ALL AMERICAN GP LLC,energy,0.0000,1.0000,0.2000
PLAINS ALL AMERICAN GP LLC,PLAINS ALL AMERICAN GP LLC,finance,0.0000,1.0000,0.2000
QUANTA SERVICES,LUCAS | COMPTON,energy,0.0000,1.0000,0.2000
RAINBOW ENERGY CENTER,FORBES-TATE,energy,0.0000,1.0000,0.2000
"SOUTHERN COMPANY SERVICES, INC.",VENN STRATEGIES,energy,0.0000,1.0000,0.2000
"THE FERGUSON GROUP, LLC ON BEHALF OF WARD & SMITH, PA (FOR TISPC, NC)",STEPHANIE MISSERT,energy,0.0000,1.0000,0.2000
TSCA IMPROVEMENT COALITION,"KELLER AND HECKMAN, LLP",energy,0.0000,1.0000,0.2000
WATEREUSE ASSOCIATION,"PLURUS STRATEGIES, LLC",energy,0.0000,1.0000,0.2000
WATEREUSE ASSOCIATION,"PLURUS STRATEGIES, LLC",finance,0.0000,1.0000,0.2000
ALLIANCE TO PROTECT NANTUCKET SOUND,KLEIN/JOHNSON GROUP,energy,0.0000,1.0000,0.2000
"ARCWOOD ENVIRONMENTAL LLC F/K/A HERITAGE ENVIRONMENTAL SERVICES, LLC","K&L GATES, LLP",energy,0.0000,1.0000,0.2000
ARRAY TECHNOLOGIES,ARRAY TECHNOLOGIES,energy,0.0000,1.0000,0.2000
ARRAY TECHNOLOGIES,ARRAY TECHNOLOGIES,finance,0.0000,1.0000,0.2000
"CASA, INC.","CASA, INC.",energy,0.0000,1.0000,0.2000
CITY AND BOROUGH OF WRANGELL ALASKA,SMITH + MALEK,energy,0.0000,1.0000,0.2000
"CITY OF DOWNEY, CA","THE FERGUSON GROUP, LLC",energy,0.0000,1.0000,0.2000
COOK INLET REGION INCORPORATED (CIRI),INVARIANT LLC,energy,0.0000,1.0000,0.2000
COUNCIL OF PRODUCERS AND DISTRIBUTORS OF AGROTECHNOLOGY,COUNCIL OF PRODUCERS AND DISTRIBUTORS OF AGROTECHNOLOGY,energy,0.0000,1.0000,0.2000
DOMTAR CORPORATION,DOMTAR CORPORATION,energy,0.0000,1.0000,0.2000
DOMTAR CORPORATION,DOMTAR CORPORATION,finance,0.0000,1.0000,0.2000
ENVIRI,FERN ABRAMS,energy,0.0000,1.0000,0.2000
"EROSION EXPERTS, LLC.",TSE CONSULTING,energy,0.0200,1.0000,0.2000
FUND FOR A BETTER FUTURE,FUND FOR A BETTER FUTURE,energy,0.0000,1.0000,0.2000
"GLENCORE, LTD",BGR GOVERNMENT AFFAIRS,energy,0.0000,1.0000,0.2000
GRAND PRAIRIE WATER COMMISSION,INVARIANT LLC,energy,0.0000,1.0000,0.2000
GRAPHJET,LOBBYIT.COM,energy,0.0050,1.0000,0.2000
HIGHLAND ELECTRIC FLEETS,"CGCN GROUP, LLC",energy,0.0000,1.0000,0.2000
HILLSBOROUGH COUNTY PUBLIC SCHOOLS,GRAYROBINSON PA,energy,0.0000,1.0000,0.2000
JAMESTOWN BPU,GROVE CLIMATE GROUP,energy,0.0000,1.0000,0.2000
ME2C ENVIRONMENTAL,"PLURUS STRATEGIES, LLC",energy,0.0000,1.0000,0.2000
NEXTGEN CLIMATE ACTION,NEXTGEN CLIMATE ACTION,energy,0.0000,1.0000,0.2000
NORTH AMERICAN STAINLESS,PORTFOLIO STRATEGIES LLC,energy,0.0000,1.0000,0.2000
OUTDOOR INDUSTRY ASSOCIATION (OIA),ACG ADVOCACY,energy,0.0000,1.0000,0.2000
PLURUS STRATEGIES (ON BEHALF OF ME2C ENVIRONMENTAL),LEATHERSTOCKING LLC,energy,0.0000,1.0000,0.2000
ROCKY MOUNTAIN INSTITUTE,ROCKY MOUNTAIN INSTITUTE,energy,0.0000,1.0000,0.2000
SHARDA CROPCHEM USA,"ALPINE GROUP PARTNERS, LLC.",energy,0.0000,1.0000,0.2000
SOYBEAN GROWERS (FKA ILLINOIS SOYBEAN ASSOCIATION),"MERCURY PUBLIC AFFAIRS, LLC",energy,0.0000,1.0000,0.2000
STEEL DYNAMIC'S INC.,SCHAGRIN ASSOCIATES,energy,0.0000,1.0000,0.2000
USAC,THE ROOSEVELT GROUP,energy,0.0000,1.0000,0.2000
ADVAMED: ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,"MEHLMAN CONSULTING, INC.",energy,0.0300,1.0000,0.2000
AMERICAN BIRD CONSERVANCY,AMERICAN BIRD CONSERVANCY,energy,0.0375,1.0000,0.2000
BRAMBLES,BRAMBLES,energy,0.0000,1.0000,0.2000
BRAMBLES,BRAMBLES,finance,0.0000,1.0000,0.2000
CITY OF NORTH MIAMI BEACH,"BALLARD PARTNERS, LLC",energy,0.0000,1.0000,0.2000
CITY OF WARREN,MCCAULLEY&COMPANY,energy,0.0000,1.0000,0.2000
COMMERCIAL METALS COMPANY - CMC,COMMERCIAL METALS COMPANY - CMC,energy,0.0000,1.0000,0.2000
DEFENDERS OF WILDLIFE,DEFENDERS OF WILDLIFE,energy,0.0000,1.0000,0.2000
EAST BAY REGIONAL PARK DISTRICT,"E2 STRATEGIES, LLC",energy,0.0100,1.0000,0.2000
HIGHLY INNOVATIVE FUELS,STEPTOE LLP,energy,0.0000,1.0000,0.2000
HIGHLY INNOVATIVE FUELS,STEPTOE LLP,finance,0.0000,1.0000,0.2000
IRRIGATION ASSOCIATION,IRRIGATION ASSOCIATION,energy,0.1000,1.0000,0.2000
IRRIGATION ASSOCIATION,IRRIGATION ASSOCIATION,finance,0.1000,1.0000,0.2000
LANXESS CORPORATION,FTI GOVERNMENT AFFAIRS,energy,0.0000,1.0000,0.2000
LANXESS CORPORATION,FTI GOVERNMENT AFFAIRS,finance,0.0000,1.0000,0.2000
LISAMAX HOLDING CORPORATION INC.,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",energy,0.0000,1.0000,0.2000
MARATHON OIL CORPORATION,MARATHON OIL CORPORATION,energy,0.1900,1.0000,0.2000
MARATHON OIL CORPORATION,MARATHON OIL CORPORATION,finance,0.1900,1.0000,0.2000
"RIVER BIRCH, LLC","THE PICARD GROUP, LLC",energy,0.0000,1.0000,0.2000
STOP MPRP,ATLANTIC STRATEGIES GROUP LLC,energy,0.0000,1.0000,0.2000
SWLA ECONOMIC DEVELOPMENT ALLIANCE,"THE PICARD GROUP, LLC",energy,0.0000,1.0000,0.2000
SWLA ECONOMIC DEVELOPMENT ALLIANCE,"THE PICARD GROUP, LLC",finance,0.0000,1.0000,0.2000
TETRA PAK,FTI GOVERNMENT AFFAIRS,energy,0.0000,1.0000,0.2000
"THE WILLIAMS COMPANIES, INC.","CGCN GROUP, LLC",energy,0.0000,1.0000,0.2000
"THE WILLIAMS COMPANIES, INC.","CGCN GROUP, LLC",finance,0.0000,1.0000,0.2000
VINEYARD OFFSHORE LLC,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),energy,0.0000,1.0000,0.2000
