meetingId,rin,agency,subagency,ruleTitle,stage,meetingStatus,meetingDate,meetingTime,meetingDateTime,requestorOrganization,requestorName,requestorClient,sourceUrl,detailFetched,participantDisclosure,clientDisclosure,sourceSystem,notes
1456873,0906-ZA23,0906-HHS,HRSA,Notice Regarding 340B Rebate Model Pilot Program,Prerule Stage,Scheduled,2026-07-01,15:30,07/01/2026 03:30 PM,Powers Pyles Sutter & Verville PC,Delaney Bounds,RWC-340B,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0906-ZA23&meetingId=1456873&acronym=0906-HHS/HRSA,True,True,True,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1449373,0906-ZA23,0906-HHS,HRSA,Notice Regarding 340B Rebate Model Pilot Program,Prerule Stage,Scheduled,2026-06-30,15:30,06/30/2026 03:30 PM,"Second Sight Solutions, LLC",Ellie Blalock,,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0906-ZA23&meetingId=1449373&acronym=0906-HHS/HRSA,True,True,False,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1441973,0906-ZA23,0906-HHS,HRSA,Notice Regarding 340B Rebate Model Pilot Program,Prerule Stage,Scheduled,2026-06-30,15:00,06/30/2026 03:00 PM,340B Health,Amanda Nagrotsky,,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0906-ZA23&meetingId=1441973&acronym=0906-HHS/HRSA,True,True,False,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1451873,0906-ZA23,0906-HHS,HRSA,Notice Regarding 340B Rebate Model Pilot Program,Prerule Stage,Scheduled,2026-06-29,15:30,06/29/2026 03:30 PM,PhRMA,Lori Reilly,,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0906-ZA23&meetingId=1451873&acronym=0906-HHS/HRSA,True,True,False,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1449473,0906-ZA23,0906-HHS,HRSA,Notice Regarding 340B Rebate Model Pilot Program,Prerule Stage,Scheduled,2026-06-29,11:00,06/29/2026 11:00 AM,NexusOne Consulting,Ross Branson,CHC Strategies LLC,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0906-ZA23&meetingId=1449473&acronym=0906-HHS/HRSA,True,True,True,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1429723,0596-AD66,0596-USDA,FS,Special Areas: Roadless Area Conservation Repeal,Proposed Rule Stage,Scheduled,2026-06-25,11:30,06/25/2026 11:30 AM,Environment America,Ellen Montgomery,,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0596-AD66&meetingId=1429723&acronym=0596-USDA/FS,True,True,False,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1449523,0938-AV82,0938-HHS,CMS,CY 2027 Revisions to Payment Policies under the Physician Fee Schedule and Other Revisions to Medicare Part B (CMS-1848),Proposed Rule Stage,Scheduled,2026-06-25,11:00,06/25/2026 11:00 AM,Holland & Knight,Miranda Franco,Society of Nuclear Medicine & Molecular Imaging (SNMMI),https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0938-AV82&meetingId=1449523&acronym=0938-HHS/CMS,True,True,True,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1437023,0938-AV83,0938-HHS,CMS,CY 2027 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates (CMS-1850),Proposed Rule Stage,Scheduled,2026-06-24,13:30,06/24/2026 01:30 PM,Hogan Lovells,Stuart Langbein,Glaukos,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0938-AV83&meetingId=1437023&acronym=0938-HHS/CMS,True,True,True,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1426873,0938-AV83,0938-HHS,CMS,CY 2027 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates (CMS-1850),Proposed Rule Stage,Scheduled,2026-06-24,13:00,06/24/2026 01:00 PM,Children's Hospital Association,Samantha Mitchell,,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0938-AV83&meetingId=1426873&acronym=0938-HHS/CMS,True,True,False,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
1434923,0906-ZA23,0906-HHS,HRSA,Notice Regarding 340B Rebate Model Pilot Program,Prerule Stage,Scheduled,2026-06-23,15:30,06/23/2026 03:30 PM,America's Essential Hospitals,Evan Schweikert,,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=true&rin=0906-ZA23&meetingId=1434923&acronym=0906-HHS/HRSA,True,True,False,reginfo-eo12866-meetings,public Reginfo.gov EO 12866 meeting disclosure
