docketId,issueDomain,agency,commentVolume,genuineShare,templateShare,technicalClaimCredibility,authenticationShare
EPA-R09-OAR-2024-0228,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OLEM-2022-0174,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-R09-OAR-2022-0338,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0282,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0282,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0282,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OGC-2024-0601,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OEJECR-2023-0531,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-ORD-2015-0765,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2020-0592,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2020-0592,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0158,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2022-0332,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2023-0292,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2020-0276,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0158,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2024-0158,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2018-0056,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2024-0419,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OAR-2024-0419,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OPPT-2020-0642,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2023-0268,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
EPA-HQ-OW-2023-0268,energy,EPA,120,0.3800,0.4600,0.5000,0.3200
