awardId,recipient,agency,subAgency,awardType,amount,issueDomain,awardCount,uei,piid,modificationNumber,actionDate,competitionType,numberOfOffers,priceOnlyAward,exPostModification,protestFiled,exclusionFlag,firewallCovered
EPW05049,CDM FEDERAL PROGRAMS CORPORATION,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,145.8637,procurement,1,YFF8MB9KNHZ3,EPW05049,0,2005-09-28,FULL AND OPEN COMPETITION,4,false,false,false,false,false
EPW09031,"LOCKHEED MARTIN SERVICES, LLC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,139.9038,procurement,1,G9CZJMSCRR28,EPW09031,0,2009-09-23,FULL AND OPEN COMPETITION,1,true,false,false,false,false
EPG11D00168,CGI FEDERAL INC.,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,86.9601,procurement,1,TRKEP1HEBNS5,EPG11D00168,0,2011-09-27,FULL AND OPEN COMPETITION,5,false,false,false,false,false
EPW14004,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,77.9356,procurement,1,SMNWM6HN79X5,EPW14004,0,2014-03-14,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0523F0038,"AECOM TECHNICAL SERVICES, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,72.9973,procurement,1,EPUXNLX5EYC4,68HE0523F0038,0,2023-02-21,FULL AND OPEN COMPETITION,3,false,false,false,false,false
EPG12H00442,"ECS FEDERAL, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,68.6102,procurement,1,XYB4JU4PA6T4,EPG12H00442,0,2012-07-30,FULL AND OPEN COMPETITION,4,false,false,false,false,false
68HE0324F0075,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,68.3924,procurement,1,LEEMJD9WKDC9,68HE0324F0075,0,2024-09-26,FULL AND OPEN COMPETITION,3,false,false,false,false,false
68HE0524C0005,"LEISNOI DIVERSIFIED-KEMRON 8A JV, LLC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,66.7216,procurement,1,MM66NU2DVT77,68HE0524C0005,0,2024-09-30,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,10,false,false,false,true,false
68HERH24F0023,"ENDYNA, INC.",Environmental Protection Agency,Environmental Protection Agency,BPA CALL,64.6686,procurement,1,GKWTAHYKMC62,68HERH24F0023,0,2023-11-07,FULL AND OPEN COMPETITION,0,false,false,false,false,false
EPW06006,"PACIFIC WESTERN TECHNOLOGIES, LTD.",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,62.3465,procurement,1,ED5TUTLDJJQ9,EPW06006,0,2006-01-13,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,4,false,false,false,true,false
68HERD21F0106,SYSTALEX CORPORATION,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,60.4233,procurement,1,XUDULV5GQ9H9,68HERD21F0106,0,2021-04-12,FULL AND OPEN COMPETITION,4,false,false,false,false,false
