awardId,recipient,agency,subAgency,awardType,amount,issueDomain,awardCount,uei,piid,modificationNumber,actionDate,competitionType,numberOfOffers,priceOnlyAward,exPostModification,protestFiled,exclusionFlag,firewallCovered
FA868224CB001,LOCKHEED MARTIN CORPORATION,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,2423.3652,procurement,1,H7PNSVNN5827,FA868224CB001,0,2024-09-27,unknown,0,false,false,false,false,false
FA862511C6600,THE BOEING COMPANY,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,2325.0524,procurement,1,WZWRLY4G3PL8,FA862511C6600,P00259,2023-11-28,unknown,0,false,true,false,false,false
89233218CNA000001,"TRIAD NATIONAL SECURITY, LLC",Department of Energy,Department of Energy,DEFINITIVE CONTRACT,2251.0685,procurement,1,X7WUS5LRBQU3,89233218CNA000001,P00170,2024-04-30,unknown,0,false,true,false,false,false
FA863423F0048,THE BOEING COMPANY,Department of Defense,Department of the Air Force,DELIVERY ORDER,2223.7936,procurement,1,JJM4FRDZJDX1,FA863423F0048,PZ0004,2024-07-30,unknown,0,false,true,false,false,false
HT940216C0001,HUMANA GOVERNMENT BUSINESS INC,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,1864.5425,procurement,1,ZE6ZM6NKSV43,HT940216C0001,P00629,2024-04-30,unknown,0,false,true,false,false,false
FA821920C0006,NORTHROP GRUMMAN SYSTEMS CORP,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,1857.0000,procurement,1,D8QQPFNYJD63,FA821920C0006,P00042,2024-04-26,unknown,0,false,true,false,false,false
DEAC0908SR22470,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,Department of Energy,Department of Energy,DEFINITIVE CONTRACT,1746.2918,procurement,1,XLQ7CKUSQSD5,DEAC0908SR22470,1102,2024-08-29,unknown,0,false,true,false,false,false
DENA0003525,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",Department of Energy,Department of Energy,DEFINITIVE CONTRACT,1731.1671,procurement,1,LUJEPCRRT377,DENA0003525,213,2024-04-29,unknown,0,false,true,false,false,false
N0002417C2117,ELECTRIC BOAT CORPORATION,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,1552.5449,procurement,1,E7BEKJ4V9528,N0002417C2117,P00136,2023-11-09,unknown,0,false,true,false,false,false
N0002423C2305,BATH IRON WORKS CORPORATION,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,1496.3720,procurement,1,FREEMCLKFXE3,N0002423C2305,P00006,2024-05-21,unknown,0,false,true,false,false,false
N0001918C1037,NORTHROP GRUMMAN SYSTEMS CORPORATION,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,1456.0194,procurement,1,PK8PM2GNVMP8,N0001918C1037,P00086,2024-07-19,unknown,0,false,true,false,false,false
N0001922C0004,SIKORSKY AIRCRAFT CORPORATION,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,1419.6870,procurement,1,UTJWTSLMFNG4,N0001922C0004,P00008,2024-05-01,unknown,0,false,true,false,false,false
N0002423C2307,HUNTINGTON INGALLS INCORPORATED,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,1375.0939,procurement,1,C3NLZNSMU254,N0002423C2307,P00010,2024-05-21,unknown,0,false,true,false,false,false
36C10G24K0111,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,DELIVERY ORDER,1365.3176,procurement,1,XMUZGJN98231,36C10G24K0111,0,2024-06-07,unknown,0,false,false,false,false,false
W31P4Q24C0022,LOCKHEED MARTIN CORPORATION,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,1361.7648,procurement,1,XFJMYSYFJEK4,W31P4Q24C0022,0,2024-06-28,unknown,0,false,false,false,false,false
N0002424C2110,ELECTRIC BOAT CORPORATION,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,1316.8770,procurement,1,E7BEKJ4V9528,N0002424C2110,P00005,2024-08-05,unknown,0,false,true,false,false,false
DEAC5207NA27344,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",Department of Energy,Department of Energy,DEFINITIVE CONTRACT,1303.8757,procurement,1,PM52LCJH72T9,DEAC5207NA27344,861,2024-04-30,unknown,0,false,true,false,false,false
