candidateActorId,normalizedName,displayName,sourceSystem,venue,sourceFile,sourceColumn,sourceRecordId,issueDomain,activityAmount,matchRule,candidateOnly,claimBoundary
cand-9f27bdbf8c38,BALL,BALL CORPORATION,LDA,visible_lobbying,lda-lobbying.csv,client,row-1,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-9f27bdbf8c38,BALL,BALL CORPORATION,LDA,visible_lobbying,lda-lobbying.csv,registrant,row-1,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-205e720fd3ca,BERLIN ROSEN FOR BENEFIT PEW CHARITABLE TRUSTS,BERLIN ROSEN FOR THE BENEFIT OF THE PEW CHARITABLE TRUSTS,LDA,visible_lobbying,lda-lobbying.csv,client,row-2,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-8a793d742b04,GREENBERG TRAURIG,"GREENBERG TRAURIG, LLP",LDA,visible_lobbying,lda-lobbying.csv,registrant,row-2,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-4531c210e1dc,CITY ANNAPOLIS MD,"CITY OF ANNAPOLIS, MD",LDA,visible_lobbying,lda-lobbying.csv,client,row-3,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-cc0ee008b14e,FERGUSON GROUP,"THE FERGUSON GROUP, LLC",LDA,visible_lobbying,lda-lobbying.csv,registrant,row-3,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-c48a465b79ee,COOKERS,COOKERS,LDA,visible_lobbying,lda-lobbying.csv,client,row-4,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-1a20a6704b0b,SC PARTNERS,SC PARTNERS LLC,LDA,visible_lobbying,lda-lobbying.csv,registrant,row-4,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-533e472a5248,COUNTY MARIN,COUNTY OF MARIN,LDA,visible_lobbying,lda-lobbying.csv,client,row-5,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-4cc29eef8acb,CARPI CLAY,"CARPI & CLAY, INC",LDA,visible_lobbying,lda-lobbying.csv,registrant,row-5,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-f2e4f43e0f2c,CYPRESS VALLEY MEAT,CYPRESS VALLEY MEAT COMPANY,LDA,visible_lobbying,lda-lobbying.csv,client,row-6,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-db6803f24076,NATURAL STATE CONSULTING STRATEGIES,NATURAL STATE CONSULTING AND STRATEGIES,LDA,visible_lobbying,lda-lobbying.csv,registrant,row-6,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-9570498c5473,EION,EION CORP,LDA,visible_lobbying,lda-lobbying.csv,client,row-7,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-df8025bd7647,BOUNDARY STONE PARTNERS,BOUNDARY STONE PARTNERS,LDA,visible_lobbying,lda-lobbying.csv,registrant,row-7,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-fe4f95f11f70,GRAYMONT,GRAYMONT,LDA,visible_lobbying,lda-lobbying.csv,client,row-8,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
cand-e7f91e65a702,MICHAEL BEST STRATEGIES,MICHAEL BEST STRATEGIES LLC,LDA,visible_lobbying,lda-lobbying.csv,registrant,row-8,energy,0.0000,normalized-name-exact,true,"manual-review seed only; does not clear first-wave source-product, causal-calibration, or venue-shifting detection gates"
