candidateActorId,normalizedName,displayName,sourceSystemCount,sourceSystems,venueCount,venues,candidateType,sourceRecordCount,issueDomains,totalActivityAmount,sourceRecordSamples,candidateUse,reviewAction,claimBoundary
cand-5745845f94a0,ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS,ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS,3,IRS/ProPublica dark-money bridge; Intermediary bridge; USAspending agency actions,3,intermediary; opaque_nonprofit_or_dark_money; procurement,cross_venue,4,procurement; technology,0.3244,IRS/ProPublica dark-money bridge:dark-money.csv:133182027:source | Intermediary bridge:intermediaries.csv:133182027:organization | USAspending agency actions:usaspending-procurement-actions.csv:693JJ321P000048|693JJ321P000048|LJ6FBY1LX2L3:recipient | USAspending agency actions:usaspending-procurement-actions.csv:1333ND24PNB770039|1333ND24PNB770039|LJ6FBY1LX2L3:recipient,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-757cad66eed7,MEHLMAN CONSULTING,"MEHLMAN CONSULTING, INC.",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,57,energy,19.0700,LDA:lda-lobbying.csv:row-96:registrant | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization | LDA revolving-door proxy:revolving-door.csv:fc6db8a1-48cc-4ea8-8321-d0a7d8c70448:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-47a12661e34c,ALBERT B SABIN VACCINE INSTITUTE,THE ALBERT B SABIN VACCINE INSTITUTE INC,2,Intermediary bridge; USAspending agency actions,2,intermediary; procurement,cross_venue,2,energy; procurement,17.1418,Intermediary bridge:intermediaries.csv:061389829:organization | USAspending agency actions:usaspending-procurement-actions.csv:75A50123C00010|75A50123C00010|H5E8NU6N2HZ5:recipient,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-baf685054e8b,BROWNSTEIN HYATT FARBER SCHRECK,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,40,energy,13.2600,LDA:lda-lobbying.csv:row-111:registrant | LDA revolving-door proxy:revolving-door.csv:4c790355-a6df-467c-8386-cd7fa1f4e74b:organization | LDA revolving-door proxy:revolving-door.csv:4c790355-a6df-467c-8386-cd7fa1f4e74b:organization | LDA revolving-door proxy:revolving-door.csv:a0069488-8a18-471c-b776-60140d555cbf:organization | LDA revolving-door proxy:revolving-door.csv:a0069488-8a18-471c-b776-60140d555cbf:organization | LDA revolving-door proxy:revolving-door.csv:a0069488-8a18-471c-b776-60140d555cbf:organization | LDA revolving-door proxy:revolving-door.csv:a0069488-8a18-471c-b776-60140d555cbf:organization | LDA revolving-door proxy:revolving-door.csv:a0069488-8a18-471c-b776-60140d555cbf:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-ee49c8a89241,BGR GOVERNMENT AFFAIRS,BGR GOVERNMENT AFFAIRS,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,25,energy,8.1600,LDA:lda-lobbying.csv:row-80:registrant | LDA revolving-door proxy:revolving-door.csv:d20cdee8-7ada-412b-8acd-5c2ecf4b0401:organization | LDA revolving-door proxy:revolving-door.csv:d20cdee8-7ada-412b-8acd-5c2ecf4b0401:organization | LDA revolving-door proxy:revolving-door.csv:d20cdee8-7ada-412b-8acd-5c2ecf4b0401:organization | LDA revolving-door proxy:revolving-door.csv:d20cdee8-7ada-412b-8acd-5c2ecf4b0401:organization | LDA revolving-door proxy:revolving-door.csv:d20cdee8-7ada-412b-8acd-5c2ecf4b0401:organization | LDA revolving-door proxy:revolving-door.csv:cf83d4af-c10f-4206-8c49-aa2b35ead1e9:organization | LDA revolving-door proxy:revolving-door.csv:cf83d4af-c10f-4206-8c49-aa2b35ead1e9:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-fd82ae0867d2,HOLLAND KNIGHT,HOLLAND & KNIGHT LLP,2,LDA revolving-door proxy; USAspending agency actions,2,procurement; revolving_door,cross_venue,24,procurement,7.8505,LDA revolving-door proxy:revolving-door.csv:ae5e2cce-ebdc-40e3-a08c-b6abd0389745:organization | LDA revolving-door proxy:revolving-door.csv:ae5e2cce-ebdc-40e3-a08c-b6abd0389745:organization | LDA revolving-door proxy:revolving-door.csv:ae5e2cce-ebdc-40e3-a08c-b6abd0389745:organization | LDA revolving-door proxy:revolving-door.csv:ae5e2cce-ebdc-40e3-a08c-b6abd0389745:organization | LDA revolving-door proxy:revolving-door.csv:bdbefb7e-6d01-4711-8017-4d548ba9a0e2:organization | LDA revolving-door proxy:revolving-door.csv:bdbefb7e-6d01-4711-8017-4d548ba9a0e2:organization | LDA revolving-door proxy:revolving-door.csv:bdbefb7e-6d01-4711-8017-4d548ba9a0e2:organization | LDA revolving-door proxy:revolving-door.csv:bdbefb7e-6d01-4711-8017-4d548ba9a0e2:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-b873bf167c67,BERGER ACTION FUND,BERGER ACTION FUND INC,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,2,energy,7.6408,IRS/ProPublica dark-money bridge:dark-money.csv:208948868:source | Intermediary bridge:intermediaries.csv:208948868:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-39db075a0df2,FORBES TATE,FORBES-TATE,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,21,energy,6.4600,LDA:lda-lobbying.csv:row-45:registrant | LDA:lda-lobbying.csv:row-60:registrant | LDA revolving-door proxy:revolving-door.csv:06f7de55-4033-4346-ad9f-9977c921e955:organization | LDA revolving-door proxy:revolving-door.csv:06f7de55-4033-4346-ad9f-9977c921e955:organization | LDA revolving-door proxy:revolving-door.csv:06f7de55-4033-4346-ad9f-9977c921e955:organization | LDA revolving-door proxy:revolving-door.csv:e4cfbf00-d34a-498f-99c8-839eb193d449:organization | LDA revolving-door proxy:revolving-door.csv:e4cfbf00-d34a-498f-99c8-839eb193d449:organization | LDA revolving-door proxy:revolving-door.csv:e4cfbf00-d34a-498f-99c8-839eb193d449:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-472f2c537845,HB STRATEGIES,HB STRATEGIES,2,LDA; LDA revolving-door proxy,2,revolving_door; visible_lobbying,cross_venue,20,energy,6.4600,LDA:lda-lobbying.csv:row-31:registrant | LDA revolving-door proxy:revolving-door.csv:4f2be280-781d-44c2-9ff8-be23c0172aa1:organization | LDA revolving-door proxy:revolving-door.csv:61e0fece-8745-44b8-bafe-9210a68c1c50:organization | LDA revolving-door proxy:revolving-door.csv:871f0a72-014e-4fe3-b498-b57fbcebbaf9:organization | LDA revolving-door proxy:revolving-door.csv:871f0a72-014e-4fe3-b498-b57fbcebbaf9:organization | LDA revolving-door proxy:revolving-door.csv:871f0a72-014e-4fe3-b498-b57fbcebbaf9:organization | LDA revolving-door proxy:revolving-door.csv:f31183bf-5bd1-470b-affb-dd1e3758686b:organization | LDA revolving-door proxy:revolving-door.csv:f31183bf-5bd1-470b-affb-dd1e3758686b:organization,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
cand-b905d6833296,AMERICAN PETROLEUM INSTITUTE,American Petroleum Institute,2,IRS/ProPublica dark-money bridge; Intermediary bridge,2,intermediary; opaque_nonprofit_or_dark_money,cross_venue,9,energy,6.3054,IRS/ProPublica dark-money bridge:dark-money.csv:130433430:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-1:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-5:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-2:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-6:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-4:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-3:source | IRS/ProPublica dark-money bridge:dark-money.csv:130433430-2024-12-01-schedule-i-7:source,"seed canonical actor table, alias review sample, and linked actor-issue-venue-time panel","manually adjudicate aliases, source identifiers, false positives, and issue comparability before promoting any row under data/calibration/first-wave/","candidate-only automated name overlap; not evidence of common control, venue shifting, or causal substitution"
