generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,observedCaptureRate,hiddenCaptureIndex,totalInfluenceDistortion,substitutionRisk,designLoss,distortionObservedComponent,distortionHiddenSubstitutionComponent,distortionInformationProcurementComponent,distortionNetworkVenueComponent,distortionProcessBurdenComponent,distortionRawComponentSum,distortionEqualWeightDiagnostic,distortionHiddenDiscountedDiagnostic,designLossBurdenHeavy,captureRateSeedStdDev,hiddenInfluenceSeedStdDev,totalInfluenceDistortionSeedStdDev,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,visibleLobbyingSpendShare,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,intermediaryShare,defensiveChannelShare,detectionRate,sanctionRate,enforcementCapacityIndex,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,commentFloodingIndex,technicalClaimCredibility,technicalRulemakingDistortion,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost,networkOpacityIndex,donorNetworkConcentration,intermediaryCentrality,officialAccessCentrality,procurementNetworkExposure,revolvingDoorBridgeIndex,commentNetworkLoad,venueShiftNetworkLoad,networkLegibilityIndex,crossVenueDetectionIndex,participationProtectionIndex,speechRestrictionRisk,switchScoreEqualWeight,switchScoreAnonymityHeavy,switchScoreEnforcementCostHeavy,switchDisclosureCost
2026-05-05T00:00:00Z,42,40,80,"open-access-lobbying","Open access lobbying",3200,2834,356,195,0.6110,0.6301,0.4306,0.6712,0.8856,0.8741,0.8962,0.5478,0.4958,0.5987,0.8856,0.0735,0.3566,0.1706,0.2022,0.1828,0.0501,0.0738,0.0429,0.0070,0.3566,0.2968,0.3315,0.1939,0.0263,0.0026,0.0073,0.2568,0.4956,0.1042,1.2651,0.2981,0.0743,0.4759,0.3120,0.4506,0.8614,1.8650,0.4549,0.1140,0.1120,0.1210,0.1470,0.1170,0.0820,0.0990,0.0830,0.0800,0.0451,0.1169,0.0019,0.1406,0.3700,0.2643,0.0922,0.1043,0.4969,0.0000,0.5361,0.0000,0.0080,0.2004,0.0942,0.0010,0.0068,0.5774,0.3522,0.1422,0.2751,0.6531,0.2035,0.4643,0.2854,0.5700,0.1956,0.4450,0.0000,0.0000,0.2551,0.3902,0.0877,0.0178,0.0698,0.0316,1.0000,0.3788,0.2361,0.3153,0.1250,0.0000,0.0000,0.0246,0.0000,0.0742,0.5288,0.3838,0.2421,0.4643,0.3280,0.4488,0.1914,0.1535,0.4712,0.0803,0.0340,0.0250,0.2241,0.2865,0.1930,0.0781
2026-05-05T00:00:00Z,42,40,80,"budgeted-disclosed-lobbying","Budgeted disclosed lobbying",3200,1380,339,337,0.6629,0.7327,0.4337,0.6712,0.4313,0.4142,0.4485,0.9941,0.9787,0.9984,0.4313,0.0455,0.2302,0.1142,0.1200,0.1099,0.0357,0.0478,0.0291,0.0077,0.2302,0.1951,0.2123,0.1390,0.0592,0.0048,0.0145,0.2554,0.4979,0.1025,1.2633,0.2413,0.0798,0.4927,0.2349,0.2957,1.0583,2.3057,0.5011,0.0897,0.0875,0.0964,0.2217,0.0719,0.1021,0.1312,0.0859,0.0837,0.0298,0.2466,0.0038,0.2725,0.1851,0.1651,0.0452,0.0811,0.6846,0.0000,0.5362,0.0200,0.0094,0.2311,0.1234,0.0008,0.0053,0.6381,0.3521,0.1404,0.2213,0.7462,0.2290,0.5451,0.2520,0.5622,0.1825,0.8609,0.3788,0.0000,0.2741,0.3276,0.0291,0.4635,0.0771,0.0012,0.9549,0.6755,0.6432,0.3153,0.2475,0.0486,0.0447,0.0762,0.0000,0.2506,0.2462,0.4388,0.2804,0.2696,0.2806,0.3864,0.2039,0.0816,0.7538,0.5678,0.1942,0.0869,0.1468,0.2697,0.1235,0.6201
2026-05-05T00:00:00Z,42,40,80,"low-salience-technical-rulemaking","Low-salience technical rulemaking",3200,3200,0,0,0.5830,0.5814,0.3979,0.6744,1.0000,0.9988,1.0000,0.0000,0.0000,0.0000,1.0000,0.0958,0.4066,0.2100,0.2375,0.2064,0.0653,0.0825,0.0475,0.0050,0.4066,0.3549,0.3740,0.2275,0.0000,0.0013,0.0011,0.2899,0.5207,0.1209,1.2675,0.5357,0.1033,0.4423,0.2312,0.0000,0.5412,1.1293,0.3987,0.0498,0.0761,0.2145,0.2218,0.0400,0.0510,0.2111,0.0431,0.0927,0.0000,0.1509,0.0016,0.1214,0.3855,0.5296,0.0543,0.0434,0.4800,0.0000,0.5360,0.0000,0.0080,0.1265,0.0942,0.0017,0.0217,0.5094,0.5432,0.0879,0.2242,0.6762,0.1969,0.7161,0.3074,0.5358,0.4453,0.6669,0.9863,0.0000,0.3179,0.4646,0.1524,-0.0177,0.1062,0.0480,1.1236,0.5794,0.4926,0.3153,0.3421,0.0471,0.0000,0.0271,0.0000,0.0865,0.6191,0.4134,0.3259,0.3352,0.2203,0.3547,0.5512,0.2115,0.3809,0.0803,0.0340,0.0250,0.2776,0.3641,0.2429,0.0878
2026-05-05T00:00:00Z,42,40,80,"campaign-finance-dominant","Campaign finance dominant",3200,3200,0,0,0.5820,0.5783,0.3978,0.6804,1.0000,0.9988,1.0000,0.0000,0.0000,0.0000,1.0000,0.1045,0.3967,0.2215,0.2395,0.2108,0.0683,0.0644,0.0485,0.0047,0.3967,0.3104,0.3626,0.2266,0.0000,0.0000,0.0021,0.3174,0.4205,0.0733,1.7762,1.1474,0.1231,0.3912,0.2719,0.0000,0.2766,0.3751,0.4658,0.0452,0.0700,0.1100,0.2858,0.0400,0.0648,0.2546,0.0400,0.0896,0.0000,0.1628,0.0016,0.1361,0.3872,0.1003,0.0557,0.0446,0.4966,0.0000,0.5370,0.0000,0.0080,0.2134,0.0941,0.0039,0.0000,0.5955,0.3625,0.1348,0.3128,0.7137,0.1581,0.4786,0.2971,0.5878,0.0000,1.0000,1.4806,0.0000,0.3237,0.4672,0.1699,-0.0295,0.1126,0.0512,1.0980,0.5219,0.3894,0.3153,0.3744,0.0217,0.0000,0.0230,0.0000,0.0663,0.6601,0.3404,0.3243,0.3297,0.1789,0.3799,0.0000,0.2336,0.3399,0.0803,0.0340,0.0250,0.2783,0.3797,0.2479,0.0878
2026-05-05T00:00:00Z,42,40,80,"dark-money-dominant","Dark money dominant",3200,2836,363,96,0.5564,0.5600,0.3886,0.6643,0.8863,0.8748,0.8968,0.2645,0.2217,0.3121,0.8863,0.1942,0.4340,0.3481,0.2953,0.1837,0.1071,0.0769,0.0590,0.0073,0.4340,0.3594,0.3804,0.2773,0.0349,0.0191,0.0115,0.2619,0.4943,0.1027,1.2961,0.8310,0.1496,0.4987,0.4429,0.4721,0.3151,0.6662,0.4038,0.0613,0.0815,0.1073,0.1995,0.0926,0.0615,0.1891,0.0724,0.0877,0.0472,0.0725,0.0006,0.1345,0.3952,0.2639,0.0972,0.1071,0.2791,0.1673,0.6309,0.0000,0.0080,0.2027,0.0791,0.0035,0.0082,0.5689,0.3911,0.1289,0.2658,0.6634,0.1950,0.5158,0.2894,0.5631,0.1867,1.6075,1.9719,0.0000,0.3684,0.4727,0.4460,-0.2270,0.2104,0.1170,1.1805,0.7839,0.6676,0.3153,0.2519,0.0700,0.0632,0.0241,0.0000,0.0716,0.7250,0.4550,0.3233,0.3625,0.2988,0.4397,0.2343,0.3795,0.2750,0.0803,0.0340,0.0250,0.3317,0.4582,0.2720,0.0779
2026-05-05T00:00:00Z,42,40,80,"revolving-door-dominant","Revolving-door dominant",3200,3200,0,0,0.5796,0.5720,0.3926,0.6775,1.0000,0.9988,1.0000,0.0000,0.0000,0.0000,1.0000,0.0984,0.4084,0.2114,0.2376,0.2063,0.0653,0.0698,0.0495,0.0175,0.4084,0.3260,0.3757,0.2260,0.0000,0.0003,0.0010,0.2894,0.4713,0.1165,1.3162,0.7838,0.1058,0.4779,0.3940,0.0000,0.3692,0.6745,0.3669,0.0839,0.0856,0.0898,0.1456,0.0453,0.0518,0.1443,0.2526,0.1012,0.0000,0.1541,0.0006,0.1214,0.3659,0.2865,0.2679,0.0407,0.5062,0.0000,0.5359,0.0000,0.0080,0.2520,0.0943,0.0113,0.0112,0.6025,0.3042,0.1502,0.3161,0.6079,0.2062,0.4017,0.2904,0.5836,0.2120,1.0000,1.4897,0.0000,0.3074,0.4570,0.1554,-0.0193,0.1046,0.0510,1.1408,0.5335,0.4056,0.3153,0.3746,0.0218,0.0000,0.0245,0.0000,0.0737,0.6222,0.3605,0.2622,0.4671,0.3266,0.5325,0.2071,0.2303,0.3778,0.0803,0.0340,0.0250,0.2737,0.3521,0.2335,0.0878
2026-05-05T00:00:00Z,42,40,80,"intermediary-substitution","Think-tank and association intermediaries",3200,2722,452,226,0.6106,0.6310,0.4068,0.6885,0.8506,0.8379,0.8626,0.5000,0.4541,0.5459,0.8506,0.1572,0.3947,0.2708,0.2328,0.1780,0.0864,0.0823,0.0399,0.0082,0.3947,0.3421,0.3516,0.2429,0.0418,0.0257,0.0136,0.2617,0.5040,0.1672,1.2134,0.6448,0.1339,0.5216,0.3778,0.4271,0.4059,0.9273,0.4229,0.0553,0.0785,0.1100,0.2258,0.0870,0.0632,0.2066,0.0443,0.0865,0.0427,0.3641,0.0097,0.2719,0.4104,0.3950,0.0488,0.0391,0.4876,0.4193,0.6418,0.0200,0.0094,0.2179,0.1065,0.0008,0.0149,0.6131,0.4295,0.1196,0.2085,0.7384,0.2386,0.6531,0.2636,0.5595,0.4286,1.5784,1.7841,0.0000,0.3673,0.3820,0.3581,0.2217,0.1915,0.0679,1.0913,0.6547,0.5892,0.3153,0.2755,0.0634,0.0724,0.0785,0.0000,0.2619,0.4106,0.4982,0.3415,0.1931,0.1853,0.3540,0.4800,0.2566,0.5894,0.5678,0.1942,0.0869,0.2318,0.4126,0.1909,0.5956
2026-05-05T00:00:00Z,42,40,80,"real-time-transparency","Real-time transparency",3200,2018,353,344,0.6481,0.7030,0.4370,0.6789,0.6306,0.6138,0.6472,0.9745,0.9523,0.9865,0.6306,0.0836,0.2969,0.1717,0.1650,0.1417,0.0539,0.0566,0.0355,0.0092,0.2969,0.2481,0.2699,0.1804,0.0380,0.0089,0.0115,0.2547,0.4986,0.1016,1.2683,0.3101,0.1004,0.4912,0.2892,0.2769,0.8214,1.7906,0.4367,0.0606,0.0787,0.1063,0.2363,0.0718,0.0610,0.1896,0.0793,0.0883,0.0281,0.2981,0.0078,0.2854,0.2546,0.2214,0.0684,0.0877,0.6848,0.0000,0.5362,0.0200,0.0094,0.2286,0.1234,0.0011,0.0056,0.6357,0.3632,0.1374,0.2114,0.7504,0.2296,0.5622,0.2503,0.5624,0.1842,1.3675,1.3997,0.0000,0.3263,0.3502,0.1482,0.3802,0.1209,0.0196,0.9838,0.7467,0.6488,0.3153,0.2403,0.0599,0.0470,0.0771,0.0000,0.2550,0.3313,0.4444,0.3190,0.2225,0.2682,0.3877,0.2179,0.1557,0.6687,0.5678,0.1942,0.0869,0.1871,0.3394,0.1614,0.6171
2026-05-05T00:00:00Z,42,40,80,"democracy-vouchers","Democracy vouchers",3200,781,1958,1891,0.6595,0.7218,0.4979,0.6895,0.2441,0.2295,0.2592,0.9658,0.9568,0.9730,0.2441,0.0623,0.1722,0.1663,0.1440,0.0569,0.0301,0.0352,0.0442,0.0058,0.1722,0.1958,0.1572,0.1545,0.0426,0.0114,0.0127,0.1117,0.5941,0.0712,0.7327,0.1736,0.1078,0.5256,0.3793,0.6821,0.6434,3.6953,0.3722,0.0607,0.0838,0.1100,0.1646,0.1161,0.0631,0.1994,0.0469,0.0862,0.0692,0.0869,0.0006,0.1766,0.1652,0.0227,0.0126,0.0101,0.5761,0.0000,0.5362,0.7200,0.0584,0.7121,0.6150,0.0002,0.0000,0.6632,0.2089,0.1799,0.4003,0.7088,0.1803,0.3103,0.2940,0.5963,0.0000,2.6047,0.4650,0.0000,0.1401,0.1674,0.0819,0.0549,0.0526,0.0257,0.8931,0.4733,0.3832,0.3153,0.3194,0.0230,0.2609,0.0291,0.0000,0.2516,0.5385,0.4737,0.3545,0.3057,0.2038,0.3778,0.0000,0.1969,0.4615,0.2966,0.4086,0.0778,0.1008,0.1588,0.0888,0.1247
2026-05-05T00:00:00Z,42,40,80,"cooling-off-ban","Cooling-off ban",3200,3181,0,0,0.5825,0.5959,0.4167,0.6564,0.9941,0.9907,0.9962,0.0000,0.0000,0.0000,0.9941,0.1325,0.4169,0.2484,0.2654,0.2039,0.0781,0.0671,0.0456,0.0222,0.4169,0.3416,0.3778,0.2875,0.0089,0.0004,0.0022,0.2804,0.4749,0.1155,1.3072,0.7195,0.1133,0.4796,0.4250,0.0000,0.3897,0.7335,0.3100,0.0400,0.0700,0.1800,0.1600,0.0500,0.0400,0.2000,0.0400,0.2200,0.0000,0.4166,0.0134,0.3046,0.3580,0.2824,0.2577,0.0399,0.5997,0.0000,0.5359,0.0300,0.0101,0.2952,0.1381,0.0016,0.0105,0.6252,0.3226,0.1449,0.2496,0.6521,0.2503,0.4887,0.2615,0.5791,0.2060,0.0563,0.1125,0.0000,0.4464,0.4291,0.2655,0.1742,0.1610,0.1233,1.1361,0.5336,0.4060,0.3153,0.3770,0.0232,0.0000,0.1296,0.0000,0.3371,0.4868,0.3924,0.3917,0.2444,0.2210,0.1530,0.2448,0.2589,0.5132,0.3886,0.2090,0.2206,0.2908,0.4531,0.2821,0.4274
