generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,observedCaptureRate,hiddenCaptureIndex,totalInfluenceDistortion,substitutionRisk,designLoss,distortionObservedComponent,distortionHiddenSubstitutionComponent,distortionInformationProcurementComponent,distortionNetworkVenueComponent,distortionProcessBurdenComponent,distortionRawComponentSum,distortionEqualWeightDiagnostic,distortionHiddenDiscountedDiagnostic,designLossBurdenHeavy,captureRateSeedStdDev,hiddenInfluenceSeedStdDev,totalInfluenceDistortionSeedStdDev,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,lobbyingDisclosureLag,campaignDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,visibleLobbyingSpendShare,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,intermediaryShare,defensiveChannelShare,detectionRate,reportingErrorDetectionRate,sanctionRate,enforcementCapacityIndex,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,commentFloodingIndex,technicalClaimCredibility,technicalRulemakingDistortion,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost,networkOpacityIndex,donorNetworkConcentration,intermediaryCentrality,officialAccessCentrality,procurementNetworkExposure,revolvingDoorBridgeIndex,commentNetworkLoad,venueShiftNetworkLoad,networkLegibilityIndex,crossVenueDetectionIndex,participationProtectionIndex,speechRestrictionRisk,switchScoreEqualWeight,switchScoreAnonymityHeavy,switchScoreEnforcementCostHeavy,switchDisclosureCost
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-0-10-0-10","Interaction enforcement 0.10 disclosure 0.10",1500,1072,423,324,0.5818,0.6067,0.5329,0.6168,0.7147,0.6913,0.7369,0.7660,0.7233,0.8038,0.7147,0.1601,0.3645,0.3002,0.3009,0.1503,0.0837,0.0666,0.0487,0.0153,0.3645,0.3436,0.3227,0.3336,0.0628,0.0331,0.0246,0.2245,0.5084,0.1195,1.2311,0.5513,0.1034,0.4441,0.2298,0.2568,0.1930,0.5857,0.4072,1.0277,0.3337,0.0659,0.0900,0.2509,0.1344,0.1044,0.0434,0.1141,0.0500,0.0883,0.0586,0.0480,0.0516,0.0013,0.1018,0.3563,0.1657,0.0980,0.1034,0.4734,0.0000,0.5255,0.6400,0.0528,0.6426,0.5815,0.0006,0.0035,0.6274,0.3310,0.1479,0.1551,0.6816,0.3099,0.5767,0.2211,0.5747,0.1393,1.5660,0.5773,0.0000,0.3967,0.3935,0.3135,-0.1705,0.1615,0.1750,1.0039,0.6770,0.5274,0.3153,0.2179,0.0682,0.1308,0.1628,0.0000,0.4701,0.6318,0.3623,0.3264,0.3563,0.1571,0.1725,0.1197,0.2958,0.3682,0.0754,0.5717,0.2857,0.2998,0.4108,0.3168,0.0558
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-0-10-0-80","Interaction enforcement 0.10 disclosure 0.80",1500,863,386,383,0.6311,0.6696,0.5332,0.6450,0.5753,0.5502,0.6001,0.9922,0.9774,0.9974,0.5753,0.1201,0.3045,0.2338,0.2215,0.1287,0.0665,0.0550,0.0394,0.0150,0.3045,0.2831,0.2713,0.2599,0.0565,0.0165,0.0201,0.2289,0.5098,0.1182,1.2329,0.2856,0.0954,0.4484,0.1752,0.2568,0.1929,0.4091,0.8012,1.9938,0.3470,0.0523,0.0782,0.1456,0.1658,0.0903,0.0506,0.1791,0.0441,0.1529,0.0411,0.1340,0.0536,0.0007,0.0969,0.2631,0.1603,0.0866,0.0919,0.6404,0.0000,0.5266,0.6400,0.0528,0.6427,0.5813,0.0004,0.0036,0.6557,0.3403,0.1454,0.1518,0.7350,0.3109,0.5884,0.2180,0.5722,0.1534,1.7820,1.5053,0.0000,0.3679,0.3491,0.2283,0.1554,0.1395,0.1193,0.9426,0.6303,0.5264,0.3153,0.2320,0.0584,0.1086,0.1493,0.0000,0.4891,0.3976,0.4106,0.3802,0.2379,0.1626,0.1740,0.1467,0.2393,0.6024,0.4689,0.6478,0.2735,0.2265,0.3630,0.2370,0.4616
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-0-10-1-25","Interaction enforcement 0.10 disclosure 1.25",1500,353,435,434,0.6591,0.7194,0.5365,0.6297,0.2353,0.2146,0.2575,0.9977,0.9871,0.9996,0.2353,0.0884,0.2051,0.1828,0.1578,0.0723,0.0523,0.0371,0.0287,0.0147,0.2051,0.2061,0.1790,0.2142,0.0566,0.0141,0.0172,0.2168,0.5173,0.1138,1.1849,0.1952,0.0931,0.4382,0.1402,0.2568,0.1933,0.4994,1.1109,2.9495,0.3913,0.0562,0.0800,0.1365,0.2027,0.0987,0.0524,0.1454,0.0450,0.1331,0.0500,0.1193,0.0514,0.0000,0.0726,0.1338,0.0767,0.0424,0.0606,0.7446,0.0000,0.5257,0.6400,0.0528,0.6422,0.5815,0.0001,0.0033,0.6829,0.3220,0.1507,0.1639,0.7681,0.3104,0.5617,0.2164,0.5777,0.1485,2.1840,1.8040,0.0000,0.3417,0.3036,0.1640,0.3440,0.1229,0.0829,0.9004,0.5075,0.5220,0.3153,0.2298,0.0389,0.1221,0.1623,0.0000,0.6089,0.1995,0.3945,0.3662,0.1622,0.1607,0.1734,0.1415,0.1635,0.8005,0.7199,0.6958,0.2659,0.1715,0.3209,0.1856,0.6859
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-0-80-0-10","Interaction enforcement 0.80 disclosure 0.10",1500,1023,399,363,0.6076,0.6514,0.5293,0.6504,0.6820,0.6580,0.7051,0.9098,0.8776,0.9341,0.6820,0.1422,0.3447,0.2724,0.2817,0.1456,0.0748,0.0617,0.0470,0.0158,0.3447,0.3307,0.3073,0.3184,0.0722,0.0270,0.0254,0.2277,0.5079,0.1176,1.2370,0.3638,0.0991,0.4421,0.2299,0.2568,0.1933,0.4713,0.6258,1.5568,0.3169,0.0648,0.0900,0.2866,0.1229,0.0929,0.0392,0.1152,0.0500,0.0904,0.0481,0.2760,0.0696,0.0133,0.4489,0.3159,0.1711,0.0987,0.0968,0.4737,0.0000,0.5256,0.6400,0.0528,0.6422,0.5815,0.0005,0.0037,0.6275,0.3296,0.1483,0.1533,0.6781,0.3120,0.5740,0.2203,0.5748,0.1487,1.5853,0.5740,0.0000,0.3847,0.3484,0.2842,-0.0588,0.1528,0.1490,0.9571,0.6759,0.5241,0.3153,0.2233,0.0681,0.1163,0.1673,0.0000,0.4925,0.6194,0.3591,0.3255,0.3560,0.1559,0.1726,0.1263,0.2585,0.3806,0.2095,0.5717,0.2857,0.2753,0.4014,0.2793,0.0570
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-0-80-0-80","Interaction enforcement 0.80 disclosure 0.80",1500,406,404,404,0.6581,0.7267,0.5309,0.6558,0.2707,0.2488,0.2937,1.0000,0.9906,1.0000,0.2707,0.0905,0.2205,0.1945,0.1769,0.0789,0.0527,0.0385,0.0372,0.0131,0.2205,0.2228,0.1941,0.2197,0.0568,0.0136,0.0180,0.2226,0.5123,0.1129,1.2068,0.1998,0.0924,0.4520,0.1755,0.2568,0.1938,0.4698,1.1145,2.8532,0.3523,0.0541,0.0794,0.1441,0.1681,0.0965,0.0507,0.1664,0.0447,0.1490,0.0470,0.2100,0.0678,0.0080,0.4237,0.1468,0.0840,0.0525,0.0586,0.6403,0.0000,0.5263,0.6400,0.0528,0.6415,0.5814,0.0002,0.0033,0.6636,0.3178,0.1518,0.1630,0.7314,0.3112,0.5555,0.2178,0.5780,0.1469,1.8927,1.6307,0.0000,0.3289,0.2868,0.1803,0.2735,0.1211,0.0817,0.8991,0.5285,0.5200,0.3153,0.2249,0.0433,0.1132,0.1511,0.0000,0.4983,0.3813,0.4136,0.3803,0.2393,0.1585,0.1770,0.1367,0.1940,0.6187,0.6030,0.6478,0.2735,0.1868,0.3290,0.1781,0.4541
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-0-80-1-25","Interaction enforcement 0.80 disclosure 1.25",1500,95,431,431,0.6807,0.7668,0.5374,0.6324,0.0633,0.0521,0.0768,1.0000,0.9912,1.0000,0.0633,0.0662,0.1517,0.1484,0.1251,0.0449,0.0407,0.0256,0.0273,0.0132,0.1517,0.1679,0.1314,0.1844,0.0323,0.0124,0.0108,0.2171,0.5155,0.1133,1.1837,0.1625,0.0889,0.4454,0.1401,0.2568,0.1927,0.5244,1.3359,3.5277,0.3850,0.0567,0.0805,0.1368,0.1955,0.1015,0.0523,0.1454,0.0452,0.1336,0.0524,0.1420,0.0634,0.0027,0.4006,0.0603,0.0315,0.0156,0.0227,0.7450,0.0000,0.5257,0.6400,0.0528,0.6429,0.5815,0.0001,0.0032,0.6833,0.3201,0.1514,0.1683,0.7679,0.3095,0.5590,0.2177,0.5790,0.1474,2.1780,1.8613,0.0000,0.3073,0.2496,0.1200,0.4638,0.1076,0.0465,0.8726,0.4340,0.5163,0.3153,0.1831,0.0287,0.1208,0.1634,0.0000,0.6142,0.1933,0.4033,0.3688,0.1626,0.1587,0.1732,0.1403,0.1257,0.8067,0.8540,0.6958,0.2659,0.1364,0.2924,0.1293,0.6885
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-1-25-0-10","Interaction enforcement 1.25 disclosure 0.10",1500,820,447,434,0.6169,0.6903,0.5265,0.6404,0.5467,0.5214,0.5717,0.9709,0.9509,0.9829,0.5467,0.1208,0.3016,0.2440,0.2692,0.1219,0.0640,0.0528,0.0456,0.0173,0.3016,0.3135,0.2696,0.3221,0.0595,0.0194,0.0196,0.2152,0.5178,0.1157,1.1757,0.2581,0.0934,0.4437,0.2301,0.2568,0.1938,0.4871,0.8337,2.2310,0.3197,0.0647,0.0898,0.2786,0.1249,0.0943,0.0403,0.1181,0.0499,0.0901,0.0493,0.3660,0.0811,0.0293,0.6658,0.2554,0.1448,0.0824,0.0789,0.4736,0.0000,0.5257,0.6400,0.0528,0.6416,0.5815,0.0003,0.0034,0.6319,0.3162,0.1520,0.1593,0.6787,0.3115,0.5536,0.2201,0.5778,0.1405,1.7893,0.6193,0.0000,0.3485,0.2984,0.2447,0.0181,0.1362,0.1212,0.9128,0.6452,0.5179,0.3153,0.2240,0.0629,0.1269,0.1923,0.0000,0.6172,0.6129,0.3646,0.3263,0.3563,0.1471,0.1726,0.1194,0.2292,0.3871,0.2957,0.5717,0.2857,0.2414,0.3675,0.2339,0.0545
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-1-25-0-80","Interaction enforcement 1.25 disclosure 0.80",1500,182,410,410,0.6634,0.7595,0.5312,0.6334,0.1213,0.1058,0.1388,1.0000,0.9907,1.0000,0.1213,0.0751,0.1796,0.1715,0.1660,0.0548,0.0449,0.0297,0.0364,0.0138,0.1796,0.2040,0.1571,0.2239,0.0395,0.0116,0.0144,0.2214,0.5131,0.1142,1.2009,0.1715,0.0904,0.4416,0.1758,0.2568,0.1948,0.5093,1.2908,3.3329,0.3558,0.0553,0.0802,0.1430,0.1696,0.1007,0.0508,0.1581,0.0451,0.1464,0.0509,0.2173,0.0770,0.0127,0.6350,0.0860,0.0468,0.0241,0.0377,0.6407,0.0000,0.5262,0.6400,0.0528,0.6403,0.5814,0.0002,0.0032,0.6609,0.3236,0.1504,0.1636,0.7327,0.3104,0.5645,0.2192,0.5782,0.1435,1.9680,1.7493,0.0000,0.3060,0.2494,0.1520,0.3484,0.1106,0.0596,0.8765,0.4706,0.5185,0.3153,0.2074,0.0342,0.1149,0.1747,0.0000,0.6163,0.3697,0.4001,0.3810,0.2402,0.1722,0.1773,0.1340,0.1671,0.6303,0.6893,0.6478,0.2735,0.1640,0.3088,0.1418,0.4516
2026-05-05T00:00:00Z,342,25,60,"interaction-enforcement-disclosure-1-25-1-25","Interaction enforcement 1.25 disclosure 1.25",1500,10,404,404,0.6928,0.7935,0.5395,0.6321,0.0067,0.0036,0.0122,1.0000,0.9906,1.0000,0.0067,0.0544,0.1312,0.1273,0.1091,0.0368,0.0341,0.0210,0.0266,0.0126,0.1312,0.1529,0.1141,0.1698,0.0108,0.0083,0.0069,0.2236,0.5081,0.1156,1.2228,0.1540,0.0878,0.4434,0.1407,0.2568,0.1949,0.5381,1.4525,3.6832,0.3796,0.0568,0.0808,0.1374,0.1898,0.1031,0.0522,0.1459,0.0454,0.1348,0.0538,0.1433,0.0714,0.0033,0.6209,0.0330,0.0162,0.0042,0.0053,0.7445,0.0000,0.5257,0.6400,0.0528,0.6402,0.5815,0.0001,0.0031,0.6864,0.3118,0.1536,0.1716,0.7658,0.3102,0.5471,0.2173,0.5815,0.1455,2.1273,1.7827,0.0000,0.2899,0.2193,0.0931,0.5541,0.0997,0.0231,0.8580,0.4004,0.5177,0.3153,0.1406,0.0247,0.1132,0.1639,0.0000,0.6169,0.1914,0.4027,0.3722,0.1630,0.1546,0.1741,0.1381,0.1055,0.8086,0.9403,0.6958,0.2659,0.1152,0.2790,0.0937,0.7059
2026-05-05T00:00:00Z,342,25,60,"interaction-financing-evasion-0-35-0-00","Interaction public financing 0.35 evasion 0.00",1500,49,423,423,0.6744,0.7826,0.4876,0.6212,0.0327,0.0248,0.0429,1.0000,0.9910,1.0000,0.0327,0.0345,0.1257,0.0989,0.1035,0.0406,0.0241,0.0242,0.0264,0.0104,0.1257,0.1440,0.1137,0.1552,0.0274,0.0008,0.0098,0.2209,0.5137,0.1225,1.2071,0.1588,0.0687,0.4392,0.1442,0.2448,0.1695,0.5309,1.3911,3.6182,0.4075,0.0645,0.0831,0.1289,0.1879,0.1008,0.0721,0.1383,0.0464,0.1250,0.0531,0.1407,0.0696,0.0033,0.4992,0.0514,0.0250,0.0080,0.0142,0.6882,0.0000,0.5443,0.2240,0.0237,0.3519,0.2629,0.0001,0.0034,0.6717,0.3193,0.1504,0.1685,0.7482,0.3078,0.5578,0.2191,0.5735,0.1529,2.0413,0.7327,0.0000,0.2644,0.2253,0.0096,0.4809,0.0638,0.0004,0.8670,0.4191,0.5217,0.3153,0.1615,0.0265,0.1186,0.1701,0.0000,0.4963,0.2140,0.3968,0.3577,0.2172,0.1564,0.1594,0.1417,0.0811,0.7860,0.7538,0.5055,0.2526,0.1111,0.2384,0.1091,0.5578
