generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,observedCaptureRate,hiddenCaptureIndex,totalInfluenceDistortion,substitutionRisk,designLoss,distortionObservedComponent,distortionHiddenSubstitutionComponent,distortionInformationProcurementComponent,distortionNetworkVenueComponent,distortionProcessBurdenComponent,distortionRawComponentSum,distortionEqualWeightDiagnostic,distortionHiddenDiscountedDiagnostic,designLossBurdenHeavy,captureRateSeedStdDev,hiddenInfluenceSeedStdDev,totalInfluenceDistortionSeedStdDev,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,visibleLobbyingSpendShare,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,intermediaryShare,defensiveChannelShare,detectionRate,sanctionRate,enforcementCapacityIndex,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,commentFloodingIndex,technicalClaimCredibility,technicalRulemakingDistortion,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost,networkOpacityIndex,donorNetworkConcentration,intermediaryCentrality,officialAccessCentrality,procurementNetworkExposure,revolvingDoorBridgeIndex,commentNetworkLoad,venueShiftNetworkLoad,networkLegibilityIndex,crossVenueDetectionIndex,participationProtectionIndex,speechRestrictionRisk,switchScoreEqualWeight,switchScoreAnonymityHeavy,switchScoreEnforcementCostHeavy,switchDisclosureCost
2026-05-05T00:00:00Z,442,35,70,"portfolio-transparency-first","Portfolio: transparency-first baseline",2450,1444,694,623,0.6456,0.7005,0.4360,0.6732,0.5894,0.5698,0.6087,0.8977,0.8729,0.9181,0.5894,0.0848,0.2882,0.1708,0.1629,0.1305,0.0479,0.0628,0.0367,0.0103,0.2882,0.2520,0.2642,0.1797,0.0556,0.0144,0.0184,0.2262,0.5029,0.1221,1.2432,0.3453,0.1071,0.4455,0.3225,0.4991,0.6551,1.6535,0.4200,0.0616,0.0818,0.1080,0.2154,0.0969,0.0612,0.1718,0.0660,0.0859,0.0513,0.2743,0.0082,0.2713,0.2992,0.1778,0.0827,0.1062,0.6800,0.0000,0.5562,0.0200,0.0094,0.2264,0.1202,0.0007,0.0049,0.6416,0.3400,0.1444,0.2532,0.7439,0.2217,0.5163,0.2621,0.5696,0.1591,1.7604,1.1086,0.0000,0.2523,0.2838,0.1386,0.3035,0.1021,0.0221,0.9671,0.6737,0.5672,0.3153,0.2384,0.0614,0.1244,0.0753,0.0000,0.2675,0.3313,0.4101,0.3308,0.1952,0.2812,0.3688,0.1894,0.1685,0.6687,0.5790,0.1930,0.0851,0.1542,0.2711,0.1175,0.5143
2026-05-05T00:00:00Z,442,35,70,"portfolio-balanced-compliance","Portfolio: balanced compliance core",2450,1037,724,708,0.6438,0.7274,0.4541,0.6461,0.4233,0.4038,0.4429,0.9779,0.9644,0.9864,0.4233,0.0856,0.2510,0.1791,0.1750,0.1028,0.0479,0.0499,0.0380,0.0124,0.2510,0.2412,0.2270,0.2101,0.0607,0.0132,0.0189,0.2194,0.5093,0.1199,1.2066,0.2170,0.1002,0.4427,0.3406,0.4608,1.0109,2.6469,0.3824,0.0549,0.0793,0.1186,0.1875,0.0923,0.0607,0.2123,0.0446,0.1034,0.0464,0.2980,0.0220,0.4804,0.2179,0.1325,0.0696,0.0820,0.6585,0.0000,0.5531,0.1000,0.0150,0.3146,0.2103,0.0002,0.0039,0.6480,0.3271,0.1486,0.2094,0.7348,0.2603,0.5432,0.2399,0.5740,0.1500,2.1359,1.7751,0.0000,0.2733,0.2613,0.1573,0.3098,0.1090,0.0444,0.9126,0.6152,0.5587,0.3153,0.2437,0.0522,0.1254,0.1361,0.0000,0.4090,0.3797,0.4138,0.3539,0.2095,0.2235,0.1987,0.1627,0.1833,0.6203,0.6430,0.2984,0.1747,0.1578,0.2871,0.1254,0.4678
2026-05-05T00:00:00Z,442,35,70,"portfolio-electoral-shield","Portfolio: electoral substitution shield",2450,1358,695,681,0.6625,0.7077,0.5248,0.6968,0.5543,0.5345,0.5739,0.9799,0.9665,0.9880,0.5543,0.1039,0.2932,0.2070,0.1939,0.1239,0.0566,0.0561,0.0428,0.0138,0.2932,0.2811,0.2649,0.2242,0.0745,0.0220,0.0253,0.2203,0.5080,0.1128,1.2018,0.2504,0.1078,0.4522,0.3432,0.4159,0.8796,2.2769,0.3558,0.0533,0.0785,0.1099,0.1585,0.0859,0.0655,0.2712,0.0442,0.0911,0.0418,0.3278,0.0159,0.4319,0.2587,0.1561,0.0802,0.0914,0.6367,0.0000,0.5283,0.7600,0.0612,0.7586,0.7019,0.0004,0.0043,0.6334,0.3325,0.1466,0.2292,0.7242,0.2363,0.5266,0.2516,0.5724,0.1510,1.6473,1.0531,0.0000,0.2906,0.2846,0.2027,0.2445,0.1266,0.0573,0.9338,0.6642,0.5620,0.3153,0.2332,0.0593,0.1203,0.0784,0.0000,0.4517,0.4421,0.4356,0.3557,0.2383,0.2559,0.3385,0.1747,0.2249,0.5579,0.6164,0.5112,0.1282,0.1730,0.3106,0.1445,0.4476
2026-05-05T00:00:00Z,442,35,70,"portfolio-rulemaking-integrity","Portfolio: rulemaking integrity stack",2450,1037,726,722,0.6379,0.7076,0.4809,0.6552,0.4233,0.4038,0.4429,0.9945,0.9859,0.9979,0.4233,0.1099,0.2648,0.2178,0.2025,0.1029,0.0608,0.0478,0.0399,0.0134,0.2648,0.2575,0.2344,0.2430,0.0554,0.0136,0.0180,0.2197,0.5146,0.1236,1.2186,0.2132,0.1040,0.4471,0.3434,0.4476,1.0307,2.6932,0.3515,0.0547,0.0793,0.1392,0.1647,0.0935,0.0529,0.1852,0.0446,0.1412,0.0448,0.2686,0.0114,0.4268,0.2131,0.1199,0.0623,0.0835,0.6412,0.0000,0.5487,0.1600,0.0192,0.3422,0.2442,0.0004,0.0031,0.6744,0.3170,0.1522,0.1541,0.7346,0.3118,0.5644,0.2124,0.5777,0.1448,2.0767,1.7910,0.0000,0.3314,0.2978,0.2273,0.2185,0.1402,0.0566,0.9208,0.6153,0.5472,0.3153,0.2388,0.0504,0.1249,0.1673,0.0000,0.4811,0.4290,0.4079,0.3742,0.2360,0.1645,0.3639,0.1152,0.2205,0.5710,0.5620,0.4850,0.1740,0.1889,0.3390,0.1881,0.4154
2026-05-05T00:00:00Z,442,35,70,"portfolio-procurement-hardening","Portfolio: procurement hardening stack",2450,761,698,694,0.6443,0.7380,0.4597,0.6384,0.3106,0.2926,0.3292,0.9943,0.9854,0.9978,0.3106,0.0848,0.2271,0.1797,0.1757,0.0854,0.0484,0.0428,0.0363,0.0142,0.2271,0.2346,0.2029,0.2243,0.0540,0.0139,0.0180,0.2233,0.5082,0.1249,1.2299,0.1922,0.0982,0.4423,0.3480,0.4654,1.1618,2.9727,0.3519,0.0540,0.0793,0.1428,0.1674,0.0959,0.0513,0.1711,0.0447,0.1469,0.0466,0.2894,0.0151,0.5297,0.1716,0.1015,0.0536,0.0705,0.6525,0.0000,0.5536,0.0400,0.0108,0.2560,0.1498,0.0001,0.0038,0.6350,0.3291,0.1481,0.1805,0.7267,0.3106,0.5487,0.2311,0.5748,0.1440,2.0008,1.7314,0.0000,0.2859,0.2588,0.1663,0.3184,0.1132,0.0474,0.9064,0.5754,0.5559,0.3153,0.2444,0.0448,0.1201,0.1381,0.0000,0.5476,0.3705,0.3995,0.3783,0.1921,0.1569,0.1963,0.1735,0.1804,0.6295,0.6786,0.3884,0.1615,0.1604,0.2970,0.1285,0.4868
2026-05-05T00:00:00Z,442,35,70,"portfolio-countervailing-representation","Portfolio: countervailing representation stack",2450,1096,693,687,0.6692,0.6964,0.5332,0.7340,0.4473,0.4278,0.4671,0.9913,0.9812,0.9960,0.4473,0.0977,0.2650,0.2054,0.1787,0.1069,0.0557,0.0485,0.0416,0.0124,0.2650,0.2543,0.2372,0.1983,0.0549,0.0129,0.0188,0.2207,0.5162,0.1165,1.2137,0.2310,0.0941,0.4419,0.3607,0.4335,0.9555,2.4692,0.3510,0.0549,0.0792,0.1490,0.1682,0.0935,0.0488,0.1601,0.0445,0.1583,0.0435,0.2118,0.0069,0.3413,0.2172,0.1304,0.0748,0.0809,0.5953,0.0000,0.5291,0.5800,0.0486,0.6164,0.5478,0.0005,0.0036,0.6419,0.3250,0.1491,0.1596,0.7159,0.3114,0.5553,0.2211,0.5737,0.1426,1.7682,1.2873,0.0000,0.3134,0.3060,0.1836,0.1628,0.1196,0.0578,0.9314,0.6246,0.5602,0.3153,0.2396,0.0509,0.1194,0.0360,0.0000,0.3937,0.4738,0.3949,0.3799,0.2705,0.1608,0.3822,0.1512,0.2142,0.5262,0.4210,0.6876,0.0660,0.1946,0.3245,0.1922,0.3168
2026-05-05T00:00:00Z,442,35,70,"portfolio-high-deterrence","Portfolio: high-deterrence enforcement stack",2450,868,722,716,0.6258,0.7370,0.4537,0.5989,0.3543,0.3356,0.3734,0.9917,0.9820,0.9962,0.3543,0.1032,0.2470,0.2061,0.2074,0.0920,0.0562,0.0447,0.0385,0.0157,0.2470,0.2538,0.2189,0.2666,0.0704,0.0193,0.0223,0.2205,0.5080,0.1215,1.2209,0.1913,0.1065,0.4418,0.3478,0.4685,1.1527,2.9857,0.3522,0.0541,0.0794,0.1375,0.1652,0.0955,0.0535,0.1857,0.0447,0.1377,0.0468,0.3531,0.0310,0.6404,0.1872,0.1092,0.0632,0.0714,0.6564,0.0000,0.5531,0.0600,0.0122,0.2727,0.1655,0.0001,0.0036,0.6512,0.3215,0.1502,0.1863,0.7312,0.2941,0.5496,0.2292,0.5759,0.1435,2.2176,2.0882,0.0000,0.2996,0.2579,0.2236,0.3066,0.1324,0.0733,0.8944,0.5908,0.5487,0.3153,0.2405,0.0488,0.1243,0.2185,0.0000,0.5945,0.3895,0.4007,0.3753,0.2083,0.1757,0.1412,0.1508,0.2117,0.6105,0.7314,0.3228,0.2696,0.1705,0.3160,0.1329,0.4818
2026-05-05T00:00:00Z,442,35,70,"portfolio-civil-liberties","Portfolio: civil-liberties-constrained portfolio",2450,549,666,666,0.6837,0.7425,0.5078,0.7026,0.2241,0.2080,0.2410,1.0000,0.9943,1.0000,0.2241,0.0822,0.2027,0.1754,0.1333,0.0717,0.0485,0.0374,0.0342,0.0109,0.2027,0.1974,0.1785,0.1635,0.0534,0.0096,0.0157,0.2241,0.5097,0.1161,1.2253,0.1764,0.0982,0.4450,0.3280,0.4632,1.2703,3.2171,0.3918,0.0552,0.0793,0.1382,0.2053,0.0950,0.0519,0.1476,0.0446,0.1365,0.0463,0.2163,0.0069,0.4661,0.1310,0.0753,0.0403,0.0622,0.6796,0.0000,0.5344,0.4600,0.0402,0.5145,0.4397,0.0002,0.0036,0.6644,0.3238,0.1500,0.1722,0.7440,0.2938,0.5590,0.2224,0.5765,0.1561,2.1669,1.8935,0.0000,0.3003,0.2698,0.1622,0.3535,0.1182,0.0497,0.8960,0.5306,0.5556,0.3153,0.2343,0.0385,0.1143,0.0733,0.0000,0.4227,0.3110,0.3996,0.3672,0.2082,0.1924,0.2081,0.1547,0.1653,0.6890,0.7050,0.5862,0.0910,0.1566,0.3058,0.1384,0.5388
2026-05-05T00:00:00Z,442,35,70,"portfolio-full-anti-substitution","Portfolio: full anti-substitution portfolio",2450,109,749,749,0.6908,0.7723,0.5433,0.6584,0.0445,0.0370,0.0534,1.0000,0.9949,1.0000,0.0445,0.0651,0.1452,0.1495,0.1184,0.0411,0.0393,0.0238,0.0292,0.0119,0.1452,0.1631,0.1255,0.1692,0.0183,0.0105,0.0088,0.2122,0.5216,0.1123,1.1660,0.1465,0.0889,0.4419,0.3227,0.5268,1.4485,3.9521,0.3819,0.0566,0.0805,0.1374,0.1926,0.1019,0.0522,0.1461,0.0453,0.1348,0.0527,0.1465,0.0033,0.5440,0.0510,0.0252,0.0122,0.0153,0.7070,0.0000,0.5266,0.6600,0.0542,0.6737,0.6105,0.0001,0.0031,0.6807,0.3145,0.1528,0.1661,0.7542,0.3171,0.5539,0.2161,0.5795,0.1450,2.2298,1.8376,0.0000,0.2956,0.2327,0.1211,0.4267,0.1043,0.0455,0.8660,0.4301,0.5442,0.3153,0.1836,0.0258,0.1285,0.1395,0.0000,0.5574,0.2438,0.3964,0.3686,0.1872,0.1482,0.1461,0.1318,0.1300,0.7562,0.8216,0.7184,0.2179,0.1346,0.2872,0.1239,0.5823
2026-05-05T00:00:00Z,442,35,70,"portfolio-full-anti-substitution-high-evasion","Portfolio: full anti-substitution under high evasion",2450,1069,719,719,0.6597,0.7073,0.5317,0.6924,0.4363,0.4168,0.4560,1.0000,0.9947,1.0000,0.4363,0.1691,0.2907,0.2947,0.2163,0.1044,0.0874,0.0458,0.0372,0.0158,0.2907,0.2700,0.2470,0.2607,0.0648,0.0387,0.0249,0.2164,0.5165,0.1131,1.1856,0.2006,0.1251,0.4434,0.3942,0.4497,1.0790,2.8554,0.3994,0.0551,0.0790,0.1371,0.2131,0.0933,0.0523,0.1465,0.0445,0.1342,0.0450,0.3747,0.0273,0.5830,0.2013,0.1220,0.0702,0.0751,0.6273,0.5757,0.6148,0.6600,0.0542,0.6741,0.5964,0.0001,0.0031,0.6801,0.3180,0.1519,0.1546,0.7538,0.3199,0.5585,0.2126,0.5781,0.1447,2.2098,1.7837,0.0000,0.3656,0.2952,0.4269,0.2309,0.2004,0.1614,0.9048,0.6179,0.5474,0.3153,0.2418,0.0530,0.1234,0.1435,0.0000,0.5774,0.3323,0.3975,0.3640,0.1858,0.1526,0.1676,0.1311,0.2811,0.6677,0.8216,0.7184,0.2179,0.2002,0.3891,0.1729,0.5926
