generatedAt,seed,runs,contestsPerRun,scenarioKey,scenarioName,totalContests,capturedContests,antiCaptureReforms,enactedAntiCaptureReforms,directionalScore,captureControl,representation,reformFeasibility,captureRate,captureRateLower95,captureRateUpper95,antiCaptureSuccess,antiCaptureSuccessLower95,antiCaptureSuccessUpper95,observedCaptureRate,hiddenCaptureIndex,totalInfluenceDistortion,substitutionRisk,designLoss,distortionObservedComponent,distortionHiddenSubstitutionComponent,distortionInformationProcurementComponent,distortionNetworkVenueComponent,distortionProcessBurdenComponent,distortionRawComponentSum,distortionEqualWeightDiagnostic,distortionHiddenDiscountedDiagnostic,designLossBurdenHeavy,captureRateSeedStdDev,hiddenInfluenceSeedStdDev,totalInfluenceDistortionSeedStdDev,avgCaptureIndex,avgPublicInterest,publicPreferenceDistortion,privateGainRatio,lobbySpendPerContest,clientFundingPerContest,donorInfluenceGini,averageDisclosureLag,lobbyingDisclosureLag,campaignDisclosureLag,defensiveReformSpendShare,captureReturnOnSpend,publicBenefitPerInfluenceDollar,visibleLobbyingSpendShare,directAccessShare,agendaAccessShare,informationDistortionShare,publicCampaignShare,litigationThreatShare,campaignFinanceShare,darkMoneyShare,revolvingDoorShare,intermediaryShare,defensiveChannelShare,detectionRate,reportingErrorDetectionRate,campaignSanctionIncidence,sanctionRate,enforcementCapacityIndex,policyDistortion,regulatoryDrift,enforcementForbearance,procurementBias,darkMoneyTraceability,darkMoneyDirectVisibility,largeDonorDependence,voucherParticipation,voucherResidentParticipation,publicFinancingShare,publicFinancingCandidateUptake,revolvingDoorInfluence,commentRecordDistortion,commentAuthenticity,templateCommentSaturation,commentUniqueInformationShare,commentReviewBurden,commentProceduralAckRate,commentSubstantiveUptake,commentCompressionRate,commentFloodingIndex,technicalClaimCredibility,technicalRulemakingDistortion,channelSwitchRate,evasionShiftRate,evasionPenaltyRate,substitutionPressure,influencePreservationRate,hiddenInfluenceShare,netTransparencyGain,messengerSubstitutionRate,venueSubstitutionRate,clientFundingAdaptation,regulatorAttentionIndex,regulatorQueueBacklog,watchdogFocusIndex,watchdogBudgetConcentration,adaptationSpeed,reformDecayPressure,legitimateAdvocacyChill,constitutionalChallengeDelay,administrativeCost,networkOpacityIndex,donorNetworkConcentration,intermediaryCentrality,officialAccessCentrality,procurementNetworkExposure,revolvingDoorBridgeIndex,commentNetworkLoad,venueShiftNetworkLoad,networkLegibilityIndex,crossVenueDetectionIndex,participationProtectionIndex,speechRestrictionRisk,switchScoreEqualWeight,switchScoreAnonymityHeavy,switchScoreEnforcementCostHeavy,switchDisclosureCost
2026-05-05T00:00:00Z,142,30,70,"sensitivity-enforcement-0-10","Sensitivity enforcement 0.10",2100,821,567,567,0.6499,0.6933,0.5374,0.6473,0.3910,0.3703,0.4120,1.0000,0.9933,1.0000,0.3910,0.1055,0.2503,0.2101,0.1819,0.0984,0.0604,0.0454,0.0325,0.0136,0.2503,0.2342,0.2201,0.2229,0.0544,0.0149,0.0184,0.2242,0.5104,0.1156,1.2219,0.2128,0.0940,0.4086,0.1780,0.2568,0.2541,0.4263,1.0537,2.6702,0.3988,0.0545,0.0785,0.1384,0.2139,0.0910,0.0519,0.1482,0.0443,0.1368,0.0426,0.1195,0.0532,0.0046,0.0005,0.0835,0.1926,0.1148,0.0633,0.0784,0.5821,0.0000,0.5310,0.6400,0.0528,0.6127,0.5806,0.0002,0.0034,0.6700,0.3261,0.1495,0.1600,0.7487,0.3108,0.5677,0.2171,0.5760,0.1487,2.1438,1.8286,0.0000,0.3610,0.3302,0.2021,0.2423,0.1336,0.1050,0.9239,0.5862,0.5551,0.3153,0.2305,0.0463,0.1135,0.1446,0.0000,0.4906,0.2869,0.4036,0.3432,0.2028,0.1600,0.1725,0.1432,0.1967,0.7131,0.5814,0.6696,0.2701,0.2031,0.3476,0.2176,0.5672
2026-05-05T00:00:00Z,142,30,70,"sensitivity-disclosure-0-10","Sensitivity disclosure 0.10",2100,1333,555,524,0.6169,0.6668,0.5313,0.6602,0.6348,0.6139,0.6551,0.9441,0.9218,0.9604,0.6348,0.1345,0.3285,0.2622,0.2723,0.1378,0.0713,0.0583,0.0458,0.0153,0.3285,0.3204,0.2929,0.3106,0.0631,0.0209,0.0213,0.2268,0.5110,0.1179,1.2304,0.3049,0.0951,0.4043,0.2483,0.2568,0.2544,0.4301,0.7436,1.8678,0.3110,0.0644,0.0900,0.2991,0.1188,0.0888,0.0377,0.1156,0.0500,0.0911,0.0444,0.3443,0.0747,0.0052,0.0290,0.5436,0.2913,0.1664,0.0887,0.0908,0.3674,0.0000,0.5275,0.6400,0.0528,0.6121,0.5812,0.0004,0.0037,0.6261,0.3322,0.1477,0.1540,0.6802,0.3111,0.5774,0.2212,0.5743,0.1477,1.6157,0.5890,0.0000,0.3765,0.3331,0.2722,-0.0243,0.1487,0.1393,0.9452,0.7015,0.5646,0.3153,0.2263,0.0656,0.1138,0.1688,0.0000,0.5000,0.6165,0.3593,0.3040,0.3559,0.1531,0.1717,0.1270,0.2467,0.3835,0.2478,0.5717,0.2857,0.2659,0.3947,0.2644,0.0572
2026-05-05T00:00:00Z,142,30,70,"sensitivity-public-financing-0-10","Sensitivity public financing 0.10",2100,283,575,575,0.6531,0.7568,0.4653,0.6163,0.1348,0.1208,0.1500,1.0000,0.9934,1.0000,0.1348,0.0710,0.1738,0.1571,0.1427,0.0577,0.0430,0.0310,0.0303,0.0119,0.1738,0.1796,0.1523,0.1926,0.0386,0.0074,0.0111,0.2259,0.5075,0.1254,1.2450,0.1572,0.0895,0.4089,0.1780,0.2568,0.2541,0.4904,1.4371,3.6105,0.3931,0.0563,0.0802,0.1347,0.1963,0.0973,0.0603,0.1487,0.0451,0.1322,0.0490,0.1814,0.0702,0.0052,0.0095,0.5056,0.0972,0.0520,0.0317,0.0360,0.5823,0.0000,0.5690,0.0640,0.0125,0.2109,0.1375,0.0001,0.0032,0.6728,0.3170,0.1523,0.1677,0.7464,0.3107,0.5546,0.2183,0.5803,0.1463,2.1386,1.8419,0.0000,0.3044,0.2533,0.1339,0.4023,0.1088,0.0374,0.8754,0.4803,0.5483,0.3153,0.2165,0.0331,0.1151,0.1802,0.0000,0.5001,0.2761,0.4053,0.3442,0.2057,0.1601,0.1735,0.1375,0.1369,0.7239,0.7538,0.4424,0.2459,0.1498,0.3003,0.1351,0.5642
2026-05-05T00:00:00Z,142,30,70,"sensitivity-cooling-off-0-10","Sensitivity cooling off 0.10",2100,194,585,585,0.6818,0.7615,0.5362,0.6547,0.0924,0.0807,0.1055,1.0000,0.9935,1.0000,0.0924,0.0672,0.1608,0.1521,0.1293,0.0500,0.0415,0.0280,0.0301,0.0112,0.1608,0.1708,0.1400,0.1752,0.0375,0.0094,0.0129,0.2198,0.5135,0.1154,1.1925,0.1543,0.0888,0.4011,0.1781,0.2568,0.2544,0.4961,1.4242,3.7091,0.3896,0.0616,0.0813,0.1366,0.1947,0.0985,0.0520,0.1447,0.0466,0.1343,0.0496,0.1748,0.0704,0.0059,0.0048,0.5012,0.0750,0.0393,0.0202,0.0310,0.5824,0.0000,0.5310,0.6400,0.0528,0.6121,0.5806,0.0002,0.0033,0.6711,0.3212,0.1502,0.1679,0.7478,0.3084,0.5608,0.2192,0.5745,0.1477,2.1100,1.7938,0.0000,0.2964,0.2500,0.1269,0.4038,0.1060,0.0260,0.8749,0.4642,0.5550,0.3153,0.2041,0.0298,0.1171,0.1464,0.0000,0.4995,0.2741,0.3931,0.3434,0.2110,0.1637,0.3832,0.1399,0.1310,0.7259,0.7538,0.6696,0.2701,0.1449,0.2935,0.1290,0.5605
2026-05-05T00:00:00Z,142,30,70,"sensitivity-enforcement-0-35","Sensitivity enforcement 0.35",2100,620,596,595,0.6592,0.7126,0.5356,0.6523,0.2952,0.2761,0.3151,0.9983,0.9906,0.9997,0.2952,0.0947,0.2220,0.1953,0.1666,0.0822,0.0549,0.0401,0.0317,0.0131,0.2220,0.2148,0.1946,0.2091,0.0552,0.0135,0.0162,0.2185,0.5131,0.1175,1.1942,0.1902,0.0942,0.4104,0.1782,0.2568,0.2547,0.4579,1.1491,3.0017,0.3963,0.0553,0.0792,0.1374,0.2097,0.0943,0.0522,0.1468,0.0446,0.1348,0.0458,0.1538,0.0578,0.0050,0.0024,0.1952,0.1578,0.0915,0.0529,0.0637,0.5822,0.0000,0.5310,0.6400,0.0528,0.6115,0.5806,0.0001,0.0032,0.6735,0.3163,0.1522,0.1647,0.7468,0.3111,0.5532,0.2170,0.5786,0.1461,2.1824,1.8181,0.0000,0.3420,0.3040,0.1823,0.2803,0.1252,0.0899,0.9077,0.5489,0.5515,0.3152,0.2368,0.0412,0.1194,0.1453,0.0000,0.4941,0.2838,0.4058,0.3427,0.2036,0.1563,0.1739,0.1382,0.1805,0.7162,0.6293,0.6696,0.2701,0.1864,0.3308,0.1936,0.5564
2026-05-05T00:00:00Z,142,30,70,"sensitivity-disclosure-0-35","Sensitivity disclosure 0.35",2100,1114,558,551,0.6327,0.6918,0.5321,0.6636,0.5305,0.5091,0.5517,0.9875,0.9743,0.9939,0.5305,0.1160,0.2964,0.2363,0.2415,0.1207,0.0632,0.0520,0.0456,0.0149,0.2964,0.2947,0.2648,0.2814,0.0613,0.0169,0.0202,0.2242,0.5128,0.1146,1.2130,0.2373,0.0938,0.4004,0.2288,0.2568,0.2544,0.4271,0.9448,2.4049,0.3488,0.0529,0.0786,0.1498,0.1686,0.0931,0.0486,0.1612,0.0443,0.1596,0.0431,0.3290,0.0749,0.0055,0.0157,0.5387,0.2431,0.1478,0.0814,0.0828,0.4271,0.0000,0.5326,0.6400,0.0528,0.6121,0.5804,0.0005,0.0036,0.6393,0.3275,0.1490,0.1565,0.6983,0.3114,0.5697,0.2199,0.5753,0.1498,1.6948,1.2800,0.0000,0.3499,0.3086,0.2348,0.0954,0.1345,0.1128,0.9327,0.6609,0.5631,0.3153,0.2376,0.0581,0.1123,0.1630,0.0000,0.5021,0.5607,0.3939,0.3609,0.3154,0.1626,0.1771,0.1418,0.2477,0.4393,0.3884,0.5989,0.2814,0.2316,0.3634,0.2223,0.1997
2026-05-05T00:00:00Z,142,30,70,"sensitivity-public-financing-0-35","Sensitivity public financing 0.35",2100,260,604,604,0.6612,0.7574,0.4862,0.6276,0.1238,0.1104,0.1386,1.0000,0.9937,1.0000,0.1238,0.0708,0.1703,0.1577,0.1395,0.0550,0.0426,0.0303,0.0305,0.0119,0.1703,0.1780,0.1490,0.1882,0.0452,0.0115,0.0153,0.2199,0.5140,0.1215,1.2068,0.1588,0.0887,0.3981,0.1781,0.2568,0.2544,0.4906,1.3851,3.6190,0.3898,0.0562,0.0801,0.1355,0.1942,0.0974,0.0593,0.1496,0.0451,0.1335,0.0491,0.1833,0.0700,0.0054,0.0076,0.5023,0.0918,0.0469,0.0311,0.0359,0.5824,0.0000,0.5586,0.2240,0.0237,0.3219,0.2606,0.0001,0.0033,0.6703,0.3232,0.1506,0.1670,0.7491,0.3097,0.5638,0.2192,0.5785,0.1464,2.1710,1.8514,0.0000,0.3009,0.2490,0.1336,0.3932,0.1073,0.0418,0.8792,0.4749,0.5543,0.3153,0.2169,0.0319,0.1209,0.1708,0.0000,0.4998,0.2756,0.3922,0.3445,0.2062,0.1662,0.1740,0.1373,0.1390,0.7244,0.7538,0.5055,0.2526,0.1488,0.2960,0.1344,0.5535
2026-05-05T00:00:00Z,142,30,70,"sensitivity-cooling-off-0-35","Sensitivity cooling off 0.35",2100,210,595,595,0.6809,0.7604,0.5359,0.6542,0.1000,0.0879,0.1136,1.0000,0.9936,1.0000,0.1000,0.0687,0.1632,0.1551,0.1310,0.0509,0.0420,0.0285,0.0305,0.0114,0.1632,0.1730,0.1422,0.1766,0.0340,0.0110,0.0106,0.2183,0.5159,0.1134,1.1820,0.1542,0.0889,0.4055,0.1782,0.2568,0.2548,0.4991,1.4153,3.7274,0.3839,0.0559,0.0800,0.1383,0.1961,0.0989,0.0519,0.1473,0.0450,0.1366,0.0499,0.1710,0.0701,0.0059,0.0067,0.5008,0.0778,0.0407,0.0230,0.0323,0.5824,0.0000,0.5312,0.6400,0.0528,0.6114,0.5806,0.0002,0.0033,0.6709,0.3218,0.1509,0.1681,0.7483,0.3095,0.5618,0.2193,0.5789,0.1474,2.1781,1.8857,0.0000,0.2989,0.2496,0.1304,0.3982,0.1068,0.0344,0.8761,0.4642,0.5538,0.3153,0.2109,0.0305,0.1191,0.1463,0.0000,0.4991,0.2762,0.4002,0.3472,0.2047,0.1651,0.3241,0.1402,0.1360,0.7238,0.7538,0.6696,0.2701,0.1469,0.2949,0.1321,0.5568
2026-05-05T00:00:00Z,142,30,70,"sensitivity-enforcement-0-80","Sensitivity enforcement 0.80",2100,304,560,560,0.6734,0.7445,0.5352,0.6547,0.1448,0.1304,0.1605,1.0000,0.9932,1.0000,0.1448,0.0795,0.1812,0.1737,0.1437,0.0589,0.0480,0.0312,0.0313,0.0118,0.1812,0.1849,0.1572,0.1883,0.0302,0.0143,0.0129,0.2235,0.5100,0.1151,1.2114,0.1623,0.0903,0.4020,0.1782,0.2568,0.2547,0.4795,1.3766,3.5058,0.3865,0.0555,0.0796,0.1387,0.1996,0.0968,0.0518,0.1480,0.0448,0.1373,0.0480,0.1733,0.0664,0.0056,0.0033,0.4071,0.0960,0.0549,0.0311,0.0393,0.5823,0.0000,0.5312,0.6400,0.0528,0.6116,0.5806,0.0001,0.0033,0.6710,0.3217,0.1509,0.1663,0.7469,0.3103,0.5614,0.2187,0.5782,0.1492,2.1462,1.9329,0.0000,0.3262,0.2744,0.1567,0.3658,0.1174,0.0681,0.8860,0.4867,0.5531,0.3153,0.2249,0.0330,0.1121,0.1462,0.0000,0.4985,0.2800,0.3958,0.3480,0.2040,0.1633,0.1738,0.1418,0.1583,0.7200,0.7155,0.6696,0.2701,0.1674,0.3185,0.1602,0.5697
2026-05-05T00:00:00Z,142,30,70,"sensitivity-disclosure-0-80","Sensitivity disclosure 0.80",2100,428,567,567,0.6648,0.7397,0.5316,0.6578,0.2038,0.1871,0.2216,1.0000,0.9933,1.0000,0.2038,0.0838,0.2014,0.1844,0.1661,0.0684,0.0494,0.0350,0.0362,0.0125,0.2014,0.2099,0.1768,0.2099,0.0375,0.0093,0.0123,0.2234,0.5095,0.1171,1.2125,0.1703,0.0879,0.3997,0.1932,0.2568,0.2529,0.4694,1.3123,3.3367,0.3522,0.0541,0.0794,0.1451,0.1685,0.0967,0.0503,0.1635,0.0447,0.1508,0.0469,0.2248,0.0719,0.0058,0.0148,0.5138,0.1204,0.0677,0.0419,0.0499,0.5345,0.0000,0.5327,0.6400,0.0528,0.6147,0.5804,0.0002,0.0035,0.6637,0.3171,0.1521,0.1662,0.7303,0.3113,0.5543,0.2189,0.5789,0.1536,1.9062,1.6524,0.0000,0.3196,0.2708,0.1681,0.3072,0.1170,0.0720,0.8820,0.5201,0.5549,0.3153,0.2384,0.0380,0.1135,0.1516,0.0000,0.5008,0.3760,0.3932,0.3597,0.2393,0.1624,0.1760,0.1438,0.1816,0.6240,0.6414,0.6478,0.2735,0.1770,0.3209,0.1626,0.4537
