scope,source,metric,value,evidenceType,notes
snapshot,lda,ldaRows,121.0000,observed,normalized LDA rows
snapshot,lda,ldaTotalSpend,1.1295,observed,sum of normalized LDA amount
snapshot,lda,lobbyingClientTop1Share,0.3763,observed,largest client share of normalized LDA amount
snapshot,lda,lobbyingClientTop3Share,0.8898,observed,top three clients share of normalized LDA amount
snapshot,lda,lobbyingRegistrantTop3Share,0.8898,observed,top three registrants share of normalized LDA amount
snapshot,lda,lobbyingSectorTopShare,0.5551,observed,largest issue-domain share of normalized LDA amount
snapshot,lda,lobbyingDisclosureLagMean,0.1000,observed,mean normalized LDA disclosure lag
snapshot,lda,coveredOfficialShareMean,0.2000,observed_proxy,mean share of covered-official contact visibility
snapshot,lda,lobbyingClientHerfindahl,0.2885,observed,client concentration Herfindahl over normalized LDA amount
snapshot,fec,fecRows,1268.0000,observed,normalized OpenFEC rows
snapshot,fec,fecTotalReceipts,946.5268,observed,sum of normalized FEC amount
snapshot,fec,fecDonorTop1Share,0.1436,observed,largest donor share of normalized FEC amount
snapshot,fec,fecDonorTop3Share,0.3668,observed,top three donor share of normalized FEC amount
snapshot,fec,fecDonorGini,0.8032,observed,donor amount Gini across normalized FEC rows
snapshot,fec,fecRecipientTop3Share,0.7505,observed,top three recipient share of normalized FEC amount
snapshot,fec,fecLargeDonorWeightedShare,0.9457,observed_proxy,amount-weighted normalized large donor share
snapshot,fec,moneyFlowTraceability,0.6183,observed_proxy,amount-weighted traceability across all normalized FEC rows
snapshot,fec,darkMoneyRows,250.0000,observed_proxy,DARK_MONEY rows from FEC or explicit dark-money/opaque-capacity bridge panels
snapshot,fec,darkMoneyDirectVisibility,0.2043,inferred,amount-weighted traceability among DARK_MONEY bridge rows only
snapshot,fec,darkMoneySourceShare,0.0245,observed_proxy,DARK_MONEY or opaque-capacity bridge share of normalized campaign-finance plus bridge amount
snapshot,fec,superPacSourceShare,0.0075,observed_proxy,SUPER_PAC share of normalized campaign-finance plus bridge amount
snapshot,fec,opaqueElectoralSourceShare,0.0321,observed_proxy,DARK_MONEY plus SUPER_PAC share of normalized campaign-finance plus bridge amount
snapshot,fec,electioneeringRows,68.0000,observed,normalized OpenFEC electioneering communication rows
snapshot,fec,communicationCostRows,200.0000,observed,normalized OpenFEC communication-cost rows
snapshot,fec,electoralCommunicationRows,268.0000,observed,normalized electioneering plus communication-cost rows
snapshot,fec,electoralCommunicationSourceShare,0.0112,observed_proxy,electioneering and communication-cost share of normalized campaign-finance plus bridge amount
snapshot,fec,electoralCommunicationTraceabilityMean,0.5238,observed_proxy,amount-weighted traceability among electioneering and communication-cost rows
snapshot,fec,outsideSpendingRows,918.0000,observed,"normalized independent expenditure, super PAC, dark-money, association, electioneering, or communication-cost rows"
snapshot,fec,outsideSpendingSourceShare,0.0433,observed_proxy,outside-spending bridge share of normalized campaign-finance plus bridge amount
snapshot,fec,outsideSpendingTop3SourceShare,0.1900,observed_proxy,top three outside spenders by normalized amount
snapshot,fec,outsideSpendingDisclosureLagMean,0.4896,observed_proxy,amount-weighted reporting lag among outside-spending rows
snapshot,fec,publicFinancingRows,135.0000,observed_proxy,public-match or voucher rows from FEC or explicit public-financing panel
snapshot,fec,publicFinancingProgramCount,2.0000,observed_proxy,distinct public-financing program sources represented
snapshot,fec,publicFinancingVoucherRows,3.0000,observed,democracy-voucher rows from explicit public-financing panels
snapshot,fec,publicFinancingMatchingRows,132.0000,observed,public matching-fund rows from explicit public-financing panels
snapshot,fec,publicFinancingVoucherAmount,0.0968,observed_proxy,sum of normalized democracy-voucher amount
snapshot,fec,publicFinancingProgramAmount,87.0526,observed_proxy,sum of public-match and voucher bridge amount
snapshot,fec,publicFinancingSourceShare,0.0822,observed_proxy,public-match or voucher share of normalized campaign-finance plus bridge amount
snapshot,fec,publicFinancingTraceabilityMean,0.9600,observed_proxy,amount-weighted traceability among public-financing rows
snapshot,fec,publicFinancingLargeDonorWeightedShare,0.0999,observed_proxy,amount-weighted large-donor share among public-financing rows
snapshot,regulatory,regulatoryRows,200.0000,observed,normalized regulatory rows
snapshot,regulatory,commentVolumeMean,119.7000,observed_proxy,mean normalized comment volume
snapshot,regulatory,commentVolumeTop1DocketShare,0.0752,observed_proxy,largest docket share of normalized comments
snapshot,regulatory,commentTemplateShareMean,0.4600,observed_proxy,mean normalized template share
snapshot,regulatory,commentAuthenticationShareMean,0.3200,observed_proxy,mean normalized authentication share
snapshot,regulatory,commentFloodingIndex,0.3072,proxy,"combined top-docket concentration, template share, and low-authentication pressure"
snapshot,regulatory,technicalClaimCredibilityMean,0.5000,proxy,mean normalized technical claim credibility
snapshot,usaspending,procurementRows,200.0000,observed,normalized USAspending award rows
snapshot,usaspending,procurementBridgeRows,150.0000,observed,"multi-agency USAspending bridge rows, if available"
snapshot,usaspending,procurementActionRows,3578.0000,observed,"normalized USAspending transaction/action rows, if available"
snapshot,usaspending,procurementConcentrationPanelRows,3578.0000,diagnostic,rows used for concentration moments from stratified USAspending transaction/action rows
snapshot,usaspending,procurementConcentrationPanelAgencyCount,6.0000,observed,distinct awarding agencies in the procurement concentration panel
snapshot,usaspending,procurementConcentrationPanelActionSample,1.0000,diagnostic,1 when procurement concentration moments use the transaction/action panel
snapshot,usaspending,procurementConcentrationPanelTopAwardSample,0.0000,diagnostic,1 when procurement concentration moments use the multi-agency top-award bridge
snapshot,usaspending,procurementCompetitionPanelRows,200.0000,diagnostic,rows used for competition moments from normalized USAspending award rows with competition fields
snapshot,usaspending,procurementModificationPanelRows,3578.0000,diagnostic,rows used for modification moments from normalized USAspending transaction/action rows
snapshot,usaspending,procurementBridgeAgencyCount,6.0000,observed,distinct awarding agencies in procurement source moment panel
snapshot,usaspending,procurementActionAgencyCount,6.0000,diagnostic,distinct awarding agencies in the transaction/action modification panel
snapshot,usaspending,procurementBridgeTopAwardSample,1.0000,diagnostic,1 when a separate multi-agency top-award bridge is available
snapshot,usaspending,procurementLatestTransactionModificationProxy,1.0000,diagnostic,1 when latest-transaction enrichment exists but is kept separate from action-level modification incidence
snapshot,usaspending,procurementTotalAwards,161806.5313,observed,sum of stratified USAspending transaction/action rows amount
snapshot,usaspending,procurementRecipientTop1Share,0.1288,observed,largest recipient share of stratified USAspending transaction/action rows amount
snapshot,usaspending,procurementRecipientTop3Share,0.2500,observed,top three recipients share of stratified USAspending transaction/action rows amount
snapshot,usaspending,procurementRecipientHerfindahl,0.0358,observed,recipient award-amount Herfindahl over stratified USAspending transaction/action rows
snapshot,usaspending,procurementAgencyTop1Share,0.6680,observed,largest awarding agency share of stratified USAspending transaction/action rows amount
snapshot,usaspending,procurementAgencyTop1CountShare,0.1677,diagnostic,largest awarding agency row-count share of stratified USAspending transaction/action rows
snapshot,usaspending,procurementAgencyHerfindahl,0.5122,observed,awarding-agency amount Herfindahl over stratified USAspending transaction/action rows
snapshot,usaspending,procurementSubAgencyTop3Share,0.6813,observed,top three sub-agencies share of stratified USAspending transaction/action rows amount
snapshot,usaspending,procurementAwardCount,3578.0000,observed,sum of normalized award or transaction counts in stratified USAspending transaction/action rows
snapshot,usaspending,procurementSingleBidShare,0.2350,observed_proxy,share among normalized USAspending award rows with competition fields that have one known offer
snapshot,usaspending,procurementAmountWeightedSingleBidShare,0.2108,observed_proxy,award-amount share among normalized USAspending award rows with competition fields with one known offer
snapshot,usaspending,procurementInitialAwardShare,0.6889,observed_proxy,share of normalized USAspending transaction/action rows that appear to be initial awards
snapshot,usaspending,procurementExPostModificationShare,0.3111,observed_proxy,share of normalized USAspending transaction/action rows marked as ex-post modifications or nonzero modification sequence
snapshot,usaspending,procurementAmountWeightedModificationShare,0.7517,observed_proxy,award-amount share of normalized USAspending transaction/action rows marked as ex-post modifications
snapshot,usaspending,procurementActionModificationRows,1113.0000,diagnostic,transaction/action rows marked as ex-post modifications
snapshot,usaspending,procurementPriceOnlyAwardShare,0.6050,observed_proxy,share among normalized USAspending award rows with competition fields marked as price-only or one-offer awards
snapshot,usaspending,procurementLimitedCompetitionShare,0.4600,observed_proxy,"share among normalized USAspending award rows with competition fields with limited competition, exclusions, or one known offer"
snapshot,usaspending,procurementProtestShare,0.0000,observed_proxy,share of normalized award rows marked with a protest flag
