canonicalActorId,actorName,halfYear,periodStart,periodEnd,ldaActivityFilingCount,ldaNativePeriodsPresent,ldaNativePeriodsExpected,ldaNativePeriodFootprint,ldaFilingUuids,ldaExpenseRecords,ldaIncomeRecords,ldaExpenseMethodMissing,ldaApiExpenseMethods,committeeId,pacStatus,pacReasonCodes,candidateContributionsDollars,independentExpendituresDollars,totalDisbursementsDollars,pacSourceRecordIds,pairedSourcePresence,provisionExposure,interpretation
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2003H1,2003-01-01,2003-06-30,3,1,1,present,358065cf-c410-4606-b026-a6e10725c3a8;50ca0707-6dc1-43a0-9115-89ba56ffd0c7;9bd361f7-98e7-46a9-90cd-267ace5ca84c,1,1,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2003H2,2003-07-01,2003-12-31,2,1,1,present,da48ba96-86c9-46c6-b602-d07ad8673ef6;e8de5ab7-9b7d-4996-a61b-d886104f6a86,1,1,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2004H1,2004-01-01,2004-06-30,2,1,1,present,93504b46-6a96-443b-8a49-7db43356b29a;95aac699-cc90-4b5f-be0d-fc27f41e5759,1,1,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2004H2,2004-07-01,2004-12-31,1,1,1,present,dfd14ccd-5c6e-4d93-a0f5-e346845c4e07,1,0,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2005H1,2005-01-01,2005-06-30,1,1,1,present,738f5dad-26ac-434e-82cc-e8f3c13feedd,1,0,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2005H2,2005-07-01,2005-12-31,1,1,1,present,1c05ce98-b02a-4e6c-8964-f7cf2ae30595,1,0,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2006H1,2006-01-01,2006-06-30,1,1,1,present,3af0b5c9-a8c0-4e08-91c2-7b9c826d3719,1,0,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2006H2,2006-07-01,2006-12-31,3,1,1,present,099a0441-bbad-4951-9803-79dc4d794706;2faadfa7-c6a0-4eba-8372-42fa1a285ea9;93264201-87dd-4466-8c4a-22cfc59e6c4c,1,0,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2007H1,2007-01-01,2007-06-30,2,1,1,present,28145cd1-a9d1-4857-b5e0-a3fb29a4cdc7;414dcc36-cd58-419e-a8e5-e2387d444783,1,1,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2007H2,2007-07-01,2007-12-31,2,1,1,present,5c742088-c65d-4247-925b-2ea04f84dd0d;b732d451-3b4e-47bf-b3f8-e9c75c6d7783,1,1,1,,,outside_pac_acquisition_cohort,not_acquired_in_this_cohort,,,,,false,not_established_by_source_presence,"Source presence only; no LDA total, matched control or causal effect established."
